,lemma,form,verbifraas,lause_id
1844,esine,esiselt,Kobaras koos tõttasid nad esiselt Kakumäe poole,4101664
1852,labidas,labidale,Istusin otse labidale,4125828
1862,diagnostikakeskus,diagnostikakeskuses,pärast seda käis ta uuringutel diagnostikakeskuses,4147620
1871,toomine,toomisel,rollis astus Kalkun aastatel üles toomisel,4178587
1878,Avinurme,Avinurmest,vaenlane Avinurmest edasi ei liiguks,4193799
1888,läänetiib,läänetiivas,boss istus läänetiivas toas,4210329
1902,Veiko,Veikole,Karin istub Veikole lähemal,4256809
1914,saksa-turnee,Saksa-turneel,Kursman käib ära Saksa-turneel,4286692
1924,talihooaeg,Talihooajal,Talihooajal jooksis teravamalt Igor suvel,4307628
1950,lahendamine,lahendamisel,Lebedi vahel käib lahendamisel võistlus,4356925
1952,malm,malmist,sõnul käib nädalal ikka pakkujat lootusrikkalt malmist luukidega kohal,4368535
1957,rattatool,rattatoolides,põnni istuvad rattatoolides üks,4379154
1960,suusatreening,suusatreeningutel,Nooruspõlves käis suusatreeningutel abikaasa,4382945
1980,Yle1,Yle1-st,sarjadest jookseb argihommikuti Yle1-st,4430520
1984,teraapiatuba,Teraapiatoas,Teraapiatoas istuvad inimesed vaguralt maalide ees,4440899
1994,tuledesära,tuledesäras,teine liigub tuledesäras,4469680
1996,liitmine,liitmisele,astusid otsustavalt liitmisele,4472382
1997,kahepaat,kahepaati,Jaanson istuvad regatiks kahepaati,4477233
2010,läänekülg,lääneküljest,praegu liigub praam lääneküljest mööda ringiga juhuks,4507299
2035,Šanghai,Šanghais,Šanghais käis nimelt visiidil ametnik,4551016
2047,klaveriklass,Klaveriklassis,Klaveriklassis käib töö programmi järgi,4572993
2054,reservõppekogunemine,reservõp-pekogunemistel,mullu käis reservõp-pekogunemistel kaitseliitlasi,4588878
2055,perelehekülg,Pereleheküljel,Pereleheküljel käime külas kodudes,4589584
2067,uusasum,uusasumitesse,sõnul on aastaga uusasumitesse lahkunud elanikust Viimsisse,4602218
2083,maailmaturnee,maailmaturneel,käis koos ansambliga maailmaturneel,4637803
2086,haavel,haavlitest,üks haavlitest liikus südamesse,4639978
2095,suusakuurort,suusakuurordis,rongipõlengut käib suusakuurordis Kaprunis pidu muiste,4654032
2103,Infortar,Infortari,Varem on Ühispangast omanikfirmasse Infortari liikunud sekretär,4670894
2126,pommitaja,pommitajatele,Käisime pommitajatele varem peale,4702084
2137,Valerenga,Valerengas,Valerengas testimisel käinud,4714292
2139,vormeliraja,vormelirajal,Kas vormelirajal istub rooli,4722912
2154,Moldova,Moldovast,Moldovast olevat aasta jooksul lahkunud inimest haltuuratööl,4749411
2159,Barbara,Barbaras,laupäevaõhtul istub Barbaras inimesi on,4768424
2166,raadius,raadiuses,reostus liigub piirkonnas raadiuses,4781077
2170,matkariie,matkariietes,käid matkariietes,4792916
2171,perenaine,perenaisel,lüpsis siis nüüd käib naabrinaine perenaisel abiks lüpsmas,4794620
2175,Tatjana,Tatjanal,Koolitüdrukud käivad Tatjanal abiks kammimas,4817849
2187,Weinheimi,Weinheimis,Toomas jooksis Weinheimis meetrit ga,4834749
2192,keskkonnafond,keskkonnafondile,keskkonnafondile käib andmine üle jõu,4847049
2216,võistluskarussell,võistluskarussellilt,lahkus kaotuse järel USAs võistluskarussellilt,4896148
2220,Lada,Ladasse,jõudnud istusid röövlid koos ekskavaatorijuhiga Ladasse,4906616
2231,joogikontsern,Joogikontsernist,Joogikontsernist ASist lahkunud,4921016
2239,meelehärdus,meelehärduses,jookseb meelehärduses lapse juurest minema,4938410
2262,majutuskeskus,majutuskeskusse,Edasi liigub ta majutuskeskusse,5002011
2265,šampoonitam,šampoonitamas,kes käib purskkaevusid šampoonitamas,5012629
2269,inkasso,Inkassost,Julianuse Inkassost lahkunud,5023486
2274,infosüsteem,infosüsteemis,infosüsteemis liigub info koos patsiendiga,5029184
2314,raamatupidamisstandard,raamatupidamisstandarditele,Praegu käib arvutamine vastavalt raamatupidamisstandarditele,5102384
2315,liivasiil,liivasiili,kes endale liivasiili jalga astus,5102839
2326,vaenlane,vaenlasele,vaenlasele vastu astusid võitluses,5123416
2334,Põhja-Afganistan,Põhja-Afganistanis,Põhja-Afganistanis käivad lahingud protesteerivad,5147178
2335,džihaad,džihaadist,Täna astusime džihaadist džihaadi mõeldes,5147365
2337,esikülg,esikülgedelt,näopilt on läbi käinud esikülgedelt tootereklaami,5150111
2344,võidupäev,võidupäeval,kes lahkus võidupäeval pealinnast,5160736
2354,maakonnahaigla,maakonnahaiglasse,maakonnahaiglasse juhi kõrval istunud,5185368
2363,käsitlus,käsitluses,krahv astub käsitluses kultuurispasmidega sammu kerkib,5193179
2376,riigieelarve,riigieelarvele,väljamaksmine ei käi riigieelarvele kindlasti üle jõu suurenevad,5208092
2382,puukool,puukoolis,rootslased on puukoolis käinud küll,5223999
2383,tantsuetendus,tantsuetendusel,tantsuetendusel astuvad pühapäeval Ugalas lavale balletiartistid,5224621
2397,skulptuuriring,skulptuuriringis,Istusin ajal hoopis palees skulptuuriringis,5251603
2398,kopteriparras,kopteripardalt,Käisin korduvalt kopteripardalt vaatamas,5253268
2412,abieluvoodi,abieluvoodil,ämm istub abieluvoodil,5279317
2416,takistamispüüe,takistamispüüetele,kõndis takistamispüüetele minema,5288880
2425,fanatism,fanatismist,inimesed käivad koos fanatismist,5296719
2442,Kaagvere,Kaagverest,käis päeva eest Kaagverest toomas,5343266
2472,juulis-august,Juulis-augustis,Juulis-augustis käib rästik sageli jahil nuumata,5415677
2473,piletimüük,piletimüügis,Hinnanguliselt liigub piletimüügis sularaha üle krooni,5416387
2482,töötlemine,töötlemisel,mis käib töötlemisel konventsiooni kohta,5448619
2527,magaja,magajatel,magajatel käis laine aja vastu nina,5567173
2532,font,fondis,initsiatiivil käib fondis praegu inventuur,5578161
2547,narkosõltuvus,narkosõltuvuses,sõnul käis narkosõltuvuses turgutamas tekkisid,5623192
2565,internetilehekülg,internetileheküljel,Statistika järgi käib internetileheküljel huvilist,5661480
2598,herilasepesa,herilasepessa,me herilasepessa ei astuks,5724256
2599,internetikasiino,internetikasiinodest,käe all jookseb hulk internetikasiinodest,5724624
2619,tagumik,tagumikku,keegi enesele pindu tagumikku ei istuks,5753144
2636,punkar,punkarist,Ma käisin punkarist sõbral EÕM-is külas,5794671
2646,tele-eeter,tele-eetris,Mehed paneb on tele-eetris käinud sügisel,5807045
2649,seinaorv,seinaorvas,Istume seinaorvas,5817678
2660,kiirustama,kiirustas,sõnul lahkus Ivanov kiirustas,5825191
2662,retseptsioon,retseptsioonist,ajal avati käis Kunstihoones retseptsioonist,5828509
2679,Jefrey,Jefreyst,Lahkun Jefreyst,5866946
2685,Lätimaa,Lätimaale,hiljem liikusid hääletades Lätimaale Ipikule külje alla,5871198
2686,MTG,MTG-st,aastal lahkus Nuutmann MTG-st,5872912
2689,briifing,briifingul,Saulius on turismiministeeriumis briifingul käinud,5877157
2690,erilennuk,erilennukile,kes istus õhtul Tallinnas erilennukile lennata,5881286
2693,joogatund,joogatundides,Alul käis perekoolis joogatundides loengutes,5886898
2695,krematoorium,krematooriumisse,Matusetalituse järel liigub sark suurtükilafetil aupataljoni saatel krematooriumisse,5889108
2709,teravaim,teravaimalt,poolel liikusid teravaimalt Williams-Darling,5920564
2710,kuldkala,kuldkalale,Käisime veel Anne kuldkalale ütlemas,5923693
2720,Lõuna-Iraagi,Lõuna-Iraagist,sõdurid Lõuna-Iraagist lahkuvad,5936678
2724,paremus,paremuselt,Aleksander astus College kevadesse paremuselt kettakaarega rekordist,5943229
2725,jahi-maa,jahi-maadele,hoopis soovil jahi-maadele ei lahkuks,5950400
2729,odavise,odaviskes,Sama käib odaviskes,5968319
2733,vehklemistreening,vehklemistreeningul,käib küll vahetevahel saalis vehklemistreeningul,5979417
2734,etikett,etiketist,jutt käib etiketist,5981319
2736,laienemine,laienemisest,jutt käib laienemisest,5983095
2748,võitleja,võitlejatele,tänu võitlejatele lahkusid okupatsiooniväed,6006841
2762,kooskõlastusring,kooskõlastusringil,detailplaneering liigub kooskõlastusringil nüüd kiiremini võimalda,6028080
2797,võimsus,võimsusel,mõlema puhul käis töö võimsusel,6093394
2798,võltskarp,võltskarpides,turul on alati ka võlts-kuubalasi liikunud võltskarpides,6096994
2801,nõgi,nõel,Sarnaselt käib otsaga nõel üle molekulide võimaldades,6103148
2818,teabevargus,teabevarguses,õhtul astuvad LHV USA-s kohtu ette süüdistatuna teabevarguses teenimises,6138817
2825,netifoorum,netifoorumis,hilisõhtul istus paigus netifoorumis inimest otsides,6159028
2832,ärikomandeering,ärikomandeeringutes,kes käib pidevalt ärikomandeeringutes,6164457
2835,maletaja,maletajast,maletajast istuvad laua taha kaheksa,6168820
2845,hooldetiim,hooldetiimist,hooldetiimist lahkunud,6193115
2853,tagamine,tagamisele,Tänavatel liigub politsei koos tagamisele sotsiaaltöötajaga,6207675
2883,vahipost,vahipostidel,piirkaitsjad käisid vahipostidel juhtub,6284528
2887,õhuvägi,õhuväest,Tibbets lahkus õhuväest brigaadikindralina aastal,6292763
2894,Bravocom,Bravocomist,Numbriteisaldusega on Bravocomist lahkunud klienti,6312475
2918,koolistaadion,koolistaadionil,lastekollektiiv jookseb koolistaadionil,6359294
2926,ärikursus,ärikursusel,Käisin sissejuhatuseks ärikursusel,6386469
2937,korjanduskast,korjanduskastis,rahad korjanduskastis liikusid,6413610
2975,üleujutus,üleujutusel,Raidma on liikmena seni käinud missioonil aastal üleujutusel,6506456
2978,asutamine,asutamisest,surve tõttu ametis lahkunud alates asutamisest sõda,6512378
2987,Vuelta,Vueltal,kes astus Vueltal sadulast etappi enne lõppu,6528430
3003,jah-pool,jah-poolele,Erakonnas euroteemal jah-poolele astunud,6554024
3014,teatemeeskond,teatemeeskonnas,Golberg jooksis eile teatemeeskonnas,6587373
3016,peatreeneripink,peatreeneripingile,peatreeneripingile on hooaja jooksul istunud Jaak,6592790
3030,Spacecomi,Spacecomil,sõnul käivad Spacecomil aastat vaidlused küll tariifide üle,6613743
3032,ristik,ristikul,05.03.2003 kella ajal ristikul astus kohas sõiduteele,6617067
3037,mõisahoone,mõisahoones,mõisahoones käib elu,6625905
3040,ringkäik,ringkäigul,ringkäigul käis kultuuriminister lastekodudes,6630756
3041,napsipood,napsipoes,Käisin napsipoes,6635881
3056,pronks-skulptuur,pronks-skulptuurile,linnud ei istu pronks-skulptuurile,6664516
3106,valuuta,valuutades,60% käib valuutades tehakse,6783471
3117,abiorganisatsioon,abiorganisatsioonidele,mõju vastu võitlemine käib ülejõu abiorganisatsioonidele,6803691
3123,Maldiivi,Maldiividel,Ma olen korda käinud Maldiividel,6823646
3127,linastus,linastustel,samuti on ta sellega käinud linastustel,6833439
3128,sotsiaal-amet,sotsiaal-ametisse,nüüd käib ta sealt sotsiaal-ametisse toomas,6835095
3135,tragöödia,tragöödiasse,tragöödiasse istusid oivaliselt,6841265
3139,kirjanduslava,kirjanduslavale,aafriklased astusid kirjanduslavale suuresti aastatel seoses levikuga,6878663
3145,Erki,Erkile,Erkile käis kiirus üle jõu,6886947
3154,seltsipidu,seltsipidudel,kes käib seltsipidudel laulmas,6912777
3159,peiduurgas,peiduurkas,Emerson istus peiduurkas ampullide otsas,6924492
3181,Leigo,Leigol,meelde Leigol üles astuvat,6961175
3182,lavastajapult,lavastajapuldis,kes istus tänavu lavastajapuldis,6962572
3208,autasustamine,autasustamisel,Maret-Sport viis astusid autasustamisel astmele,7004365
3210,müüriosa,müüriosal,müüriosal käib täna lõppviimistlus,7008078
3217,riigiviis,riigiviisil,Viimati käis liidritest UKs riigiviisil tsaar,7026002
3226,kušett,kušetile,Tüdruk istus kušetile,7043686
3227,puulaud,puulaual,nad istusid üksteise vastu litsutuna puulaual,7049812
3231,taim,taimele,ju ma siis astusin liikudes taimele,7063096
3234,NKVD-mees,NKVD-meestele,Roopalu päeva ajal keset NKVD-meestele sülle jooksis,7073277
3235,paisjärv,paisjärves,Käisime Tshempionsoniga paisjärves granaatidega püüdmas,7077786
3236,inter,intris,Pärast käisin intris vaatamas,7081319
3238,Tretjakovkas,Tretjakovkas,Käisime Pavkaga Tretjakovkas,7081495
3239,GUM,GUM-is,Käisime kaubamajades GUM-is,7081568
3241,kotletibaar,kotletibaaris,Istub muudkui kotletibaaris metroojaama kõrval,7083995
3249,kapinurk,kapinurgal,kodus istus karu kapinurgal,7097949
3256,seksiõpetus,seksiõpetuses,seksiõpetuses käivat,7120442
3258,nõlvaed,nõlvaias,Nad istusid kõrvuti pingil maja ees nõlvaias,7126236
3260,kaitseseisang,kaitseseisangusse,astus jalad kaitseseisangusse,7127240
3262,Susanna,Susannale,Raigo muuseas käis seeaeg Susannale pinda võtta,7135846
3265,basseiniäär,basseiniäärel,Timo istus basseiniäärel,7137364
3266,luksusköök,luksusköögis,Inga istus üksinda luksusköögis,7143464
3269,kaljusopka,kaljusopkal,ma istusin koos Veronikaga männi all seal kaljusopkal,7148644
3273,mungaklooster,mungakloostris,Egiptuses käisime vaatamas mungakloostris,7156345
3275,psühholoogiakonverents,psühholoogiakonverentsil,käisin Sankt psühholoogiakonverentsil tuttavate hulgas furoori võrrelda,7163784
3292,ravimipood,ravimipoes,nõnda käib päeva jooksul ravimipoes klienti,7206108
3335,parteikool,parteikoolis,Enno-Lembit oli pärast demobiliseerimist käinud parteikoolis,7341585
3336,valgemets,Valgemetsas,kes käis suvekodus Valgemetsas,7341811
3350,suusatajasamm,suusatajasammul,lahkus suusatajasammul kabinetist,7384749
3355,Ingrid,Ingridil,Ingridil kodus väikelinnas külas käisin,7390103
3362,Moorasaar,Moorasaares,perenaisega koos käisite Moorasaares röövimas,7398201
3363,Köln,Kölnis,Kadri käis Kölnis aastasündmusel,7398898
3369,muulikivi,muulikivil,Kalju istuvad muulikivil,7411106
3392,Transiti,Transitis,Teinekord istus Transitis tüdruk nö ametlikult,7453329
3405,turvavöö,turvavööst,aga jutt käib turvavööst,7476620
3407,tuberkuloos,tuberkuloosi,lahter käib tuberkuloosi,7482201
3417,saalituba,saalitoas,me jälle saalitoas istusime,7496895
3418,Pegasus,Pegasuses,õhtul istusin Pegasuses,7496979
3429,kaldarinnatis,kaldarinnatisele,Istume kaldarinnatisele sööma,7531956
3431,eluiga,elueas,Pole ma elueas nende juures käinud,7537221
3435,sitt,sitas,Istu siis sitas,7541190
3442,pruut,pruutidele,Varem käis ta pruutidele helistamas,7561016
3469,pornomess,pornomessil,Käinud korduvalt pornomessil,7624507
3497,jõekäär,jõekäärus,Istusime sõpradega jõekäärus,7685420
3509,televisioonistaap,televisioonistaapi,oodates astusid sportlased televisioonistaapi,7704612
3517,äripartner,äripartnerile,Pangast liikus raha kergekäeliselt äripartnerile,7729504
3518,vesilood,vesiloodile,Jüri kõndis keset autoteed vesiloodile püüdes,7730401
3520,pohma,pohmas,Nimelt kõndis laulja pohmas peaga mööda tänavat,7731837
3525,Westbergi-eraalgkool,Westbergi-eraalgkoolis,Ilmar käis Westbergi-eraalgkoolis reaalgümnaasiumis,7743942
3526,reaalgümnaasium,reaalgümnaasiumis,Ilmar käis Westbergi-eraalgkoolis reaalgümnaasiumis,7743942
3535,tammepuu,tammepuust,tammepuust mehed käinud raamvankriga korda järel,7769409
3541,moeäri,moeäris,moeäris liiguvad mastaabis rahad,7784278
3571,kalurimajake,kalurimajakesse,Astume kalurimajakesse,7857182
3578,hiigelformaat,hiigelformaadis,hiigelformaadis lito vastas jooksis non-stop tantsuvideo,7875987
3584,saunatrepp,saunatrepil,Parajasti ta saunatrepil istus,7905075
3589,jalgotsi,jalgotsis,Enn-Aksel istus ta jalgotsis,7916146
3591,kolt,koldist,aastat ei lahkunud hetkekski koldist,7920604
3594,peolaud,peolauas,mõned istusid peolauas,7927880
3595,foogt,Foogtile,Estrada astus Foogtile lähemale,7930993
3599,vä,vä,paaritusmäng käib vä,7935917
3604,puhmas,puhmastes,sa mehega puhmastes käisid,7948047
3605,autokumm,autokummile,Istusin autokummile,7952568
3606,Wilde,Wilde'is,Istun Wilde'is koos majanaabriga,7953659
3618,Teise,Teises,Teises istus maani hobusevaras öövalvur,7968143
3638,kaupmeheelamu,kaupmeheelamus,Nüüd ma siis istusin kaupmeheelamus kamina ees,8026990
3640,tulepaiste,tulepaistel,nende keskel tulepaistel liiguvad haldjad,8030430
3658,dise,disesse,minutid enne keskpäeva astus luurerühm saarelt neljateistkümnekraa disesse vette,8051038
3670,Dinamo,Dinamos,Dmitri jooksis koos eestlasega platsile alguses Moskva Dinamos aga detsembrist saati Permi,8098545
3687,kodutu,kodututele,varjupaigas käib korda kodututele jagamas liige,8122306
3727,ritv,ridval,Pavel istub ridval,8191348
3736,diakooniamaja,diakooniamajas,diakooniamajas käib võimlemisrühm,8211413
3738,lumesadu,lumesajus,lumesajus ringi liikunud,8213045
3739,tutvumisõhtu,tutvumisõhtul,Õhtul käisime matkamajas tutvumisõhtul mängimas,8213207
3747,Metz,Metzis,Metzis käinud,8225208
3762,HETA,HETAst,tänaseks HETAst lahkunud,8254418
3766,Aeron,Aeronil,Istun hetkel Aeronil,8265209
3767,rütmika,rütmikalt,liigub rütmikalt,8266046
3768,Dixielant,Dixielandis,varem käisime Dixielandis,8272137
3777,lindla,lindlas,lindlas käib parasjagu kaalumine,8309535
3792,kümnepallisüsteem,kümnepallisüsteemis,Punktiarvestus käis kümnepallisüsteemis,8366453
3795,Ikarus-buss,Ikarus-bussi,Ta istus jaamas lõpp-peatuses aktsiaseltsile Ikarus-bussi,8376696
3796,telefonivabrik,telefonivabrikus,Nad on telefonivabrikus korda vaatamas käinud,8378681
3814,ekstaas,ekstaasi,ekstaasi asemele astub salvimine,8429134
3834,jalanõudekapp,jalanõudekapile,istusin luristades kirudes esikus jalanõudekapile,8505853
3836,hommikukaste,Hommikukastes,Hommikukastes istusin ta kõrval kerkis,8522323
3837,porimülgas,porimülkast,too astus porimülkast rambivalgusse,8522799
3843,maainimene,maainimestel,maainimestel käib lehti,8532508
3861,puhkebaas,puhkebaasides,puhkebaasides käinud,8556548
3880,teabmima,teabmis,istunuks ta seal teabmis ajast,8593731
3881,purskkaevupark,purskkaevupargis,ta siis ekspeditsiooni algul purskkaevupargis istus raamat,8593985
3885,poroloontugitool,Poroloontugitoolis,Poroloontugitoolis jalg istus Toomas,8600345
3895,boheem,Boheemis,ooperit käisin kuulamas poisikesena Boheemis,8614718
3896,Meinhard,Meinhardi,Korraks jooksin Meinhardi kägaras kogu poole,8617677
3904,toetuskonverents,toetuskonverentsil,spetsialist käis juuni algul Mongoolias toetuskonverentsil,8626159
3918,väljavisatu,väljavisatutele,kaameramehed jooksid väljavisatutele tormi,8657783
3921,tippmees,tippmeestelegi,Piirsalu astus lõpus tippmeestelegi kandadele,8658550
3923,neeger,neegrist,suunal liigub shokolaadinali neegrist sõbra pihta,8669470
3933,ringrõdu,ringrõdul,ringrõdul istuvad lamamistoolides kõrvuti kuju,8692193
3934,telkmaja,telkmajja,astub telkmajja,8692845
3935,töölispartei,Töölisparteisse,kes astus siis Töölisparteisse,8696096
3937,maanaisesamm,maanaisesammul,kes maanaisesammul astub nüüd mööda platsi,8701803
3949,Coruña,Coruñas,Tihti käis ta Coruñas,8726805
3955,poksitšempionaat,poksitšempionaadil,Käisin oktoobris esindajana poksitšempionaadil,8743748
3956,jalaväepataljon,jalaväepataljonis,sõnul käib jalaväepataljonis korda,8744305
3958,paintball,paintballist,naised käivad sageli paintballist hankimas,8748356
3960,orav,oraval,käib oraval söömas,8755894
3962,kasarmuhoone,kasarmuhoonest,mõrvar oli laskeharjutustele mineku eel käinud kasarmuhoonest teise,8761428
3965,maabumiskoridor,maabumiskoridoris,jooksevad maabumiskoridoris liivaluiteni,8769146
3971,muusikakihistus,muusikakihistustesse,tähendus liiguks helikeelest korraks muusikakihistustesse,8776517
3991,saepukk,saepukil,Nad istusid saepukil nii,8805846
3992,toojuur,toojuures,Jutuajamine käis neil toojuures enamaste malli järgi,8808190
3997,sügisrõske,sügisrõskes,ta nüüd siin sügisrõskes keldritoas istus,8813635
3999,eeden,Eedenist,Luuletajad on vaikselt lahkunud Eedenist,8816459
4000,veesoon,veesoontel,veesoontel käisid kustutamas loomad,8818295
4002,õlipõrgu,õlipõrgus,kuis sul õlipõrgus istub,8818767
4003,pressiruum,pressiruumi,astus vaiprada pressiruumi,8820878
4009,orelikontsert,orelikontserdil,Enne sõjaväge käis Lukk Vanemuises orelikontserdil,8836891
4011,näitemänguselts,näitemänguseltsis,Praegu käib näitemänguseltsis sõnul noort,8844396
4017,šefluskord,šefluskorras,ta šefluskorras käis ehitamas,8847638
4024,jazzifestival,jazzifestivalil,jazzifestivalil astuvad maailmastaaride kõrval üles muusikud,8862006
4026,tankiluuk,tankiluukidel,tankiluukidel istuvad,8865793
4029,Kahvli,Kahvlist,Hannes lahkus Kahvlist sügisel,8879236
4037,reduperiood,reduperioodidel,ta reduperioodidel öömajal käinud,8899290
4066,rahvaüritus,rahvaüritustel,rahvaüritustel agaralt käinud,8943170
4070,murre,murdes,külalisi jooksis messikeskuses ummisjalu rahva seast läbi murdes huvikeskuse boksi juurde näha,8945890
4074,alpimägi,alpimägedes,käis alpimägedes ekskursioonil,8957509
4076,mikrogramm,mikrogrammidest,jutt käib mikrogrammidest kg kohta,8959572
4089,laenutus,Laenutustes,Laenutustes käivad uisud tihtipeale jalast jalga,8977721
4102,kummitus,kummitusest,käivad jutud kummitusest,8998740
4108,mõttekus,mõttekusest,USAs käib diskussioon üle dollari mõttekusest,9016843
4116,enesetapp,enesetapust,surma kohta on liikunud legende alates enesetapust kuni allatulistamiseni,9035606
4117,tolmupilv,tolmupilves,tolmupilves liigub tonte,9035731
4134,moesalong,moesalongi,naine astub moesalongi,9076519
4138,õunapuu,õunapuudel,Need liiguvad õunapuudel,9081218
4168,kolmekümnes,kolmekümnendatel,Ülejäänud astusid kodakondsusse kolmekümnendatel,9141304
4169,Lõuna-Rootsi,Lõuna-Rootsis,hommikul lahkub Eckard kodust Lõuna-Rootsis tuua,9147889
4200,moemess,moemessil,Veebruaris käisid ülemused Itaalias moemessil,9205355
4224,Sussex,Sussexis,Käisin aga jälle Sussexis vaatamas,9241781
4237,arvutiturg,arvutiturult,Mitsubishi lahkub arvutiturult,9274385
4242,õmbluskursus,õmbluskursustel,Kõigepealt käisin õmbluskursustel,9294448
4245,töökaitseamet,töökaitseametis,Vallandatud käisid nädalal töökaitseametis,9299401
4248,ametnikkond,ametnikkonnale,kehtestamine ühekorraga käib ametnikkonnale,9306553
4282,riigipüha,riigipühal,Käige riigipühal mööda asulat,9392072
4288,mudilasmaja,Mudilasmajas,laps käis varem eralasteaias Mudilasmajas,9404263
4309,võimetus,võimetusest,Jutt käib võimetusest,9447614
4311,korrelatsioon,korrelatsioonis,teada siis liiguvad hinnad korrelatsioonis,9452570
4313,koristamistöö,koristamistöödelt,töölised koristamistöödelt lahkusid,9456242
4319,vererõhk,Vererõhku,Vererõhku käib siin mõõtmas inimest,9473523
4323,ploomike,Ploomikeses,Ploomikeses käib haigeid,9476190
4333,Managua,Managuas,Istusime abikaasaga juunil Managuas lennukisse sõita,9495741
4339,kirjanduspäev,kirjanduspäevadel,olen käinud kirjanduspäevadel,9510818
4361,lisavõimalus,lisavõimalusest,Seega käib jutt ilmselt lisavõimalusest,9553773
4381,valgerand,Valgerannas,nooruses istun Valgerannas kivi otsas,9627754
4433,Engqui,Engquist,Engquist jookseb lisaks põhidistantsile m,9738668
4434,menupaik,menupaigas,aega käivad menupaigas ettevalmistused ümberehituseks,9739879
4437,Amuurimaa,Amuurimaal,Carl käis Amuurimaal,9751895
4455,listaku,Listakult,kes Listakult Võrru tööle käib,9807059
4456,muusikapress,Muusikapressis,Muusikapressis liiguvad jutud,9810372
4461,mõõk,Mõõgal,tuusadest astuvad Mõõgal rajale vanameister,9818134
4467,poliitkool,poliitkooli,nooruk astus poliitkooli,9831751
4476,taasvalimine,taasvalimisest,Parlamendis käivad jutud taasvalimisest saladus,9852672
4485,bluusifestival,bluusifestivalil,käin bluusifestivalil,9861751
4500,riigikaitseakadeemia,Riigikaitseakadeemias,Kaitseminister käis laupäeval pidamas Riigikaitseakadeemias,9894145
4503,mahakandmine,mahakandmisest,Jutt käib mahakandmisest,9900305
4517,lõpuetapp,lõpuetapil,lõpuetapil astus Lasse eile lähemale sarja üldvõidu poole edestades,9927805
4538,kivimaja,kivimajas,kivimajas on käinud varas,9971676
4541,restruktureerimine,restruktureerimisel,Ukraina on restruktureerimisel kaugemale astunud Eesti,9975265
4584,GSM-mobiilivõrk,GSM-mobiilivõrgus,edastamine käib GSM-mobiilivõrgus,10067437
4599,tantsureivi,tantsureividel,kes korral käis tantsureividel keerutamas,10089195
4601,kirgas,kirkal,kirkal talvepäeval astus ta sõber,10091779
4617,rahasüst,rahasüstile,Venemaa liigub rahasüstile vaatamata allamäge,10119167
4630,Burjaatia,Burjaatias,kunagi käisin Burjaatias,10139628
4637,raudpingike,raudpingikesele,Istu korraks raudpingikesele,10147831
4638,tipptasand,tipptasandil,mismoodi elu tipptasandil käib,10151963
4642,vaal-galerii,Vaal-galeriis,Leonhard näituse aastal Tallinnas Vaal-galeriis avalikkuse ette astus,10162382
4644,ööriie,ööriietes,hiigelfotol istus rühm ööriietes tüdrukuid,10164335
4663,ruutmeeter,ruutmeetrilt,praegu käib piirmäär ruutmeetrilt veel üle jõu,10203701
4664,mineja,minejast,aastal käis klassi minejast kolmandik valmistumas,10205588
4677,rahvalikkus,rahvalikkuselt,Festivaliprogrammis oli päevaks rõhuasetus sujuvalt liikunud rahvalikkuselt elitaarsuse poole,10227543
4715,naaberrada,naaberradadel,on intuitiivselt liikunud naaberradadel,10315196
4734,tudengiaeg,tudengiajal,tudengiajal käis ta otsimas,10364101
4738,rocklaager,Rocklaagril,sõnul on ta käinud Rocklaagril,10372729
4739,rockmuusika,rockmuusikast,33selt lahkub ta rockmuusikast tegelema,10373538
4748,lukustamisasend,lukustamisasendisse,laadimisel ei liikunud lukustamisasendisse pealesõidusild,10393576
4753,kalapaat,kalapaatidel,Kassid käivad kalapaatidel sadamas vastas,10400016
4755,autoomanik,autoomanikest,jutt käib rikkujate puhul siiski autoomanikest,10405060
4768,elamispind,elamispindadelt,maksujõuetud lahkuvad elamispindadelt,10435378
4814,Mordvamaa,Mordvamaal,Paraku on lahendamine käinud Mordvamaal üle kivide,10564832
4821,nahakiht,nahakihtidesse,UV-kiirguse mõjul liigub see nahakihtidesse,10572879
4826,videolaenutus,videolaenutuses,videolaenutuses leti taga istunud,10591972
4838,rajatähis,rajatähisele,astus kurvis rajatähisele,10616305
4845,alagrupimäng,alagrupimängus,The istus koos tütrega pingil alagrupimängus,10628614
4849,arengukõver,arengukõveral,Eesti liigub arengukõveral,10643554
4850,Charlton,Charltonisse,Juunis lahkus Charltonisse vasakkaitsja,10643702
4853,sideasutus,sideasutuses,kes on käinud sideasutuses pensioni järel,10652734
4872,Linnavalitsus,Linnavalitsusest,ajaks oli E. Tamm Linnavalitsusest juba lahkunud,10697965
4880,filmilinastus,filmilinastustel,liikusid koos filmilinastustel,10709559
4888,teleasjandus,teleasjanduses,teleasjanduses käib info-,10727109
4907,sõjakolledzh,sõjakolledzhisse,sõjakolledzhisse astus aastal noormeest,10781122
4923,agitatsioonikoosolek,agitatsioonikoosolekul,käisin linnukasvatuses agitatsioonikoosolekul,10827850
4928,talurahvaerakond,talurahvaerakonnast,talurahvaerakonnast läbi käinud,10836539
4934,radioloogiaosakond,radioloogiaosakonnas,radioloogiaosakonnas oli tänavu alguseks uuringutel käinud naist,10848547
4936,tantsulugu,tantsuloos,tantsuloos istus täht endast korda mulati süles,10852992
