lause;form
Firenzes käisime neljas arvutifirmas .;arvutifirmas
""" Pool aastat olen Aivarilt käinud mitu korda küsimas .";Aivarilt
Tiigrituuri arvutitelgis Tartus Raekoja platsil käis eile ligi 1500 huvilist , kes surfasid internetis ja mängisid arvutimänge .;arvutitelgis
Kaks suve tagasi osales Väike-Maarja korvpallimeeskond väikelinnas Palestrinas ( kuulsa helilooja sünnilinnas ) noorteturniiril ning Virumaal vastukülaskäigul käinud itaallastest said südamest Eesti-huvilised .;vastukülaskäigul
Sergejeva käis sihtasutuses mullu novembris , rohkem teda nähtud pole .;sihtasutuses
Päikesetõusul , kui üle kogu linnakese kajanud palvusehüüd oli meid üles raputanud , nägin , et taevas polnud ühtegi pilve , vaid olid tõepoolest kõrged mäed ning et kogu Kemer õitses , hotellide aiad olid täis eksootilisi taimi , millele ei osanud nimegi anda ning kohalike elanike rämpsustes aedades istusid rättides naised ja jälgisid poolpaljaid turiste ketikoera tigedusega .;rättides
"Üheksanda klassi noormehed tõdevad , et neile meeldiks , kui tüdrukud sagedamini miniseelikuid kannaksid "" Talvel nagu minis hästi ei käi , külm on , "" selgitab Maarja Seinas .";minis
Sellest väikesest ebaõnnestumisest hoolimata lahkun Eestist parimate muljetega .;ebaõnnestumisest
Enam on kõneainet tekitanud Tartu Korvpallikoolis käinud poiste värbamine .;Korvpallikoolis
Chihuahua osariigi võimud pöördusid föderaalvalitsuse poole palvega alandada otsekohe kõigi kütteliikide hinda , kuna selle hankimine külmalainega toimetulekuks käib plajudele mehhiklastele üle jõu .;plajudele
Pühapäeval Koonderakonna kongressil erakonna peasekretäriks kinnitatud abilinnapea Ants Leemets ütles , et ei lahku abilinnapea kohalt enne linna järgmise aasta eelarveprojekti jõudmisest linnavolikogu ette 15. novembril .;jõudmisest
Ma tahan , et mu telefonil oleksid oleku- ja kasutajaprofiilid , et ta aku peaks vastu kauem kui kaks ööpäeva , et tal oleks rohkem kui neli juba aastaid tuntud Ericssoni helinat , et menüüd ei liiguks telefonirežiimis nii aeglaselt ( viimati valitud kõnede nimekirja peab pärast nupulevajutust ootama tervelt sekundi ) ja et telefoni suurel ekraanil näidatav tekst ei oleks nii kribu , et näiteks autoroolis ja pimedas on võimatu aru saada , kes mulle helistab .;telefonirežiimis
22aastast Märtinit peetakse Eesti andekaimaks nooreks rallimeheks , viimastel hooaegadel on ta kodustele ässadele valusalt kannale astunud .;ässadele
Paulauskas , kes käis kodu lähedal Lasnamäed meenutavas Fabijonishkesi uusrajoonis koos abikaasa Jolanta ( 25 ) ja noorima tütre Aistega ( 3 ) jalgsi hääletamas , oli oma võidus veendunud .;uusrajoonis
Aitaks ehk metsade lagendikeks muutmine , mis ju nii Amasoonias kui ka Eestis päris edukalt käib ?;Amasoonias
Nagu hiljuti Tallinas käinud helilooja Penderecki ütles : oma piiblitekstidel põhinevate suurvormidega on ta viimane mohikaanlane .;Tallinas
Avariihetkel juhi kõrval istunud Oleg lebab intensiivraviosakonnas raske ajukahjustusega koomaseisundis , teised on raskete vigastustega neurokirurgiaosakonnas .;Avariihetkel
Samal ajal astuvad kümmekonnas esinemispaigas õllesõprade ette sellised armastatud lauljad ja pillimehed nagu Rock Hotell , Ummamuudu ja Setu laulukoor , FIX , Seelikukütid või Marju Kuut .;esinemispaigas
Nädalavahetusel Siguldas MKetapil käinud Eesti koondise peatreener Peeter Kirt kuulis ehmatuseks , et maapakku läinud presidendi võlakoorem on arvatust kopsakam .;Siguldas
""" Tasalaini väitel käib Jõulumäel rahvast alates ema-isa kõhul kotikeses rippuvatest imikutest kuni pensionärideni välja .";imikutest
"Nüüd käisin kaks päeva enne võistlust kangisaalis . """;kangisaalis
Korra käis Ööbik ka Rakverest väljaspool - Põltsamaa veinipeol .;veinipeol
McLarenisse lahkunud tippkonstruktor Adrian Newey oli just aerodünaamika spetsialist ja kuigi vormeli ehitamine on tänapäeval tiimitöö , pole talle väärilist asendajat leitud .;McLarenisse
Tualetipotist mööda istunud purjus Saaremaa mees veetis pool tundi poti ning seina vahele kiilutuna enne , kui päästeteenistuse ametnikud ta vabaks tirisid .;Tualetipotist
Kell 19.26 kontori sulgenud Marika istus veidi eemal oma kaasosaliste vanemat tüüpi sinisesse Fordi ja sõitis koos noormeestega tagasi kontori juurde .;sinisesse
Astuvad sisse juveeliärisse :;juveeliärisse
Dagmari meelest eristuvad naiskodukaitsesse astuvad naised meelelaadilt selle poolest , et on sportlikumad .;naiskodukaitsesse
Praegu liigub pealinna erinevatel liinidel Rohti sõnul iga päev kaks kuni kuus Ikarust .;Ikarust
Eestist astub seekord lavale rohkearvuliselt lauljaid alates esimesest festivalivõitjast Silvi Vraidist ja lõpetades 13-aastase Saaremaa neiu Maria Väliga .;festivalivõitjast
Ta pole abiellunud , ta elab koos emaga , tal pole kindlat tööd , aeg-ajalt käib ta külapidudel kitarri mängimas .;külapidudel
Vähe sõidetavate ja kehva kvaliteediga teede remont käib tänu uuele parandusmasinale varasemast kiiremini ning on ka teefirmale soodne , kuna nõuab kolm korda vähem töölisi .;parandusmasinale
""" Paar korda käisin neljasilmavestlusel .";neljasilmavestlusel
Kui see niimoodi oleks , astuksin ma meeste seisusest otsekohe välja .;seisusest
Piiskop-emeeritus Henrik Svenungsson on käinud olavipäeval Vormsil igal teisel aastal alates kiriku taaspühitsemisest 1990.;taaspühitsemisest
Estonian Air liigub üldisele lennundusele vastupidises suunas ka sellel aastal .;lennundusele
Vabanemist taotlevast kümmekonnast Harku vangla kinnipeetavast astus eile esimesena maakohtu esimehe Sirje Õunpuu kabinetti Eenmaa .;kinnipeetavast
Kaitseminister Sergei Ivanov teatas , et Vene lennukid pole Pankisi kurus käinud ning tegi Gruusiale ettepaneku intsidenti koos uurida .;kurus
Varssavi lennujaamas üle antud Ustimenko istus Poola lennukompanii 50-kohalise reisilennuki tagaotsas , kus enamik reisijaid teda isegi tähele ei pannud .;tagaotsas
Esmaspäevani istus ta Amsterdamis trellide taga ja on nüüd lõpuks jõudnud tagasi Helsingisse .;Amsterdamis
Alles hiljuti , kui käis dislussioon OSCE missiooni lahkumisest Eestist , Moskvas nii ei arvatud .;lahkumisest
Ühinemisläbirääkimistesse on astunud ka Eesti .;Ühinemisläbirääkimistesse
Pärnu supelranna luidetelt liigub liiv hoovuste ja tuule mõjul veel muulide vahele laevakanalisse ja muuli äärde jäävasse sonni .;luidetelt
""" Kui ma esmaspäeval end valimiskomisjonis registreerimas käisin , siis nad keerutasid seal , kui küsisin , mitu kandidaati veel on , "" lausus Liira .";valimiskomisjonis
Tartu Aura veepargi turundusjuhi Marilin Krooni sõnul käib Vene rühmi nädalas 4-5 , sama palju käib Auras ka lätlasi .;Auras
""" Viimasel ajal käivad vargad eramutes sees just päise päeva ajal , kui majalised ise kas aias toimetavad või on lihtsalt korraks välja läinud ja ukse lahti jätnud , "" rääkis ta .";eramutes
""" Ühtse dokumendihaldussüsteemi juurutamisega astub linn oma sisemises töökorralduses ja kodanikega suhtlemises tubli sammu edasi , "" ütles Sepp .";töökorralduses
""" Nad käisid siin ujulas ujumas , treener nägi hiljem pildi pealt ja tundis ära , "" ütles ta .";ujulas
See oli ajal , mil Nobeli rahupreemia laureaat Sahharov istus vaba maailma protestidest hoolimata vangistuses Gorkis .;vangistuses
"Ühelt poolt jookseb ta sisse eetikasse , "" ütles Vilosius .";eetikasse
Jutt käib põhiväärtustest .;põhiväärtustest
Nüüd kõnnivad näitusesaali avaras õhuruumis rohkete laevamudelite ja teiste mereeksponaatide vahel muuseumikülalised .;õhuruumis
Nüüd turvab nii Eesti Energiat kui ka Estonia teatrit ja käib vormi hoidmiseks koos oma iiri setteri Billiga Pirita veerel sügissuplemas .;sügissuplemas
Esimene konvoi , kuhu kuulusid Iraagist massihävitusrelvi otsivad ÜRO inspektorid , käis linnast 20 km idas asuval sõjaväeterritooriumil .;sõjaväeterritooriumil
Meie klubi käib vähemalt korra aastas Prantsusmaal konjakireisil ning viimane kord naasime sealt mitme uue suunaga konjakikultuuris .;konjakireisil
Seega on karud Roosikrantsi uulitsal käinud , ja mistarvis siis veel , kui mitte jahipoe ette pommi panemas !;uulitsal
Traumapunktiteenuste eest viiekroonist tasu küsivas Bal-neomis käib traumadega 50-60 inimest päevas .;Bal-neomis
Tänaval ja linna peal käib majaelanikest kolmandik , ülejäänud on ainult toas või hingavad õueõhku rõdult .;majaelanikest
Suvel sisustan aega metsas hulkumisega ja ilmselt käin üle pika aja taas mõnel orienteerumisvõistlusel .;orienteerumisvõistlusel
Kultuurifestivalil Kopenhaagenis astuvad üles 11 riigi muusikud , näitlejad , tantsijad .;Kultuurifestivalil
Helene istub diivaninurgal täpselt nii , nagu istuvad vanadel fotodel eestiaegsed perenaised .;diivaninurgal
Alates päevast , kui Tallinna ainsa taksoettevõtte - taksopargi - Volgade kõrvale tekkisid esimesed kooperatiivi- ja litsentsitaksod , käib taksonduses üks kammajaa .;taksonduses
Tööpataljonis käisime üle Eesti metsatöödel ja hiljem ka kolhoosides tööl .;Tööpataljonis
""" Jaanuari alguses , kui sealse setu seltsi kutsel Petseris käisin , jättis remonditud koolisaal väga hea mulje , "" kinnitas Nurk .";Petseris
Vahetult enne Gerlit proovilaval käinud Lea Liitmaa nägi aga unes , et just Gerli võidab .;proovilaval
Mõnedes euroajudes liigub juba mõte üle-euroopalise ajalehe loomise suunas .;euroajudes
Näiteks Floridas käib metsikutele orhideevormidele tõeline jaht - kollektsionääride seas on need kõrges hinnas .;orhideevormidele
Reklaamplakatil istub Gorbatšov auto tagaistmel Berliini müüri foonil .;foonil
Vihmaga on hoopis lihtsam liikuda , pane ainult kalossid jalga , astu rentslisse ja lase voolul end kanda .;rentslisse
Humanitaaraladel on tuntud tegelastest lahkunud ka Berk Vaher .;Humanitaaraladel
Õe sõnul kõnnib vend sageli unes .;unes
Lühikeses jalas käisid nad tarbekunstigaleriis , jäädes sinna paarikümneks minutiks .;tarbekunstigaleriis
"Tema kompanii likvideerimine käib Jukose hävitamisel "" läbiharjutatud "" stsenaariumi järgi .";hävitamisel
Tallinna Haabersti sotsiaalkeskuses viiendat aastat käsitööd tegemas käivad pensionärid avastasid Postimehe vahel ilmunud parteinimekirju uurides jahmatusega , et on Rahvaliidu liikmed .;sotsiaalkeskuses
Jazz unistab ajast , kui ta on vanem mees , kes istub siidist hommikukuues kiiktoolis ning suitsetab piipu .;hommikukuues
"Kuressaare linnateatri rambivalgust näinud "" Polkovniku leses "" astuvad lavale telestaaridena tuntud Madis Milling ja Henrik Normann , nende kuulsa sarja "" Vanade ja kobedate "" headuses .";headuses
Jutt käib Soome elektriturgu valitsevast energiafirmast Fortum .;energiafirmast
Viljakas ja mitmekülgne kirjamees astus kirjandusellu juba 1960-ndatel , kuigi tema luule- ja proosadebüüt oli alles järgmisel kümnendil .;1960-ndatel
"Jutt käib "" Kajakast "" , "" Võluflöödist "" , ( kahtlemata uuele kultuuriministrile pühendatud ) "" Jänese aastast "" ning sooloprojektidest "" Faust "" ja "" Hamletid "" .";Kajakast
Organisatsiooni avalduses räägitakse , et venelased vihkavad ennekõike fašiste , kes istuvad äriringkondades , parlamendis ja valitsuses , aga mitte tavalisi Balti riikide elanikke .;äriringkondades
"Näiteks käib Las Vegases esinemas Elton John , "" rääkis Karu .";Las
Kolmel MM-etapil poodiumile astunud britt Lewis Hamilton on tuntud hulljulge sõitjana .;MM-etapil
15 aastat Tallinna kuulsaima bordelli mainet kandnud Lily striptiisibaari pidajad astuvad nädala pärast Eesti suurimas prostitutsiooniprotsessis süüdistatavatena kohtu ette .;prostitutsiooniprotsessis
Nouri al-Maliki on šiiit ja kuulus liikumisse , mis Saddami valitsusajal astus vastu sunniidist diktaatori režiimile , vahendab BBC .;sunniidist
Kui seni oli ETV koos teiste eesti kanalitega ZUUMi klientidele nähtav analoogedastusena , siis alates eilsest liikus kanal ka digitaalplatvormile .;digitaalplatvormile
Festival saab hoo sisse 25. aprillil kell 21 Raekoja platsil , kus meenutuste , heade soovide ja muusika saatel süüdatakse kevadpäevade tuli , mis koos rongkäigulistega Toomemäele liigub .;Toomemäele
Show'l astub ülesse ka räpistaari poeg Kurtis Blow Junior ning lisaks maailmakuulsad breaktantsijad Lil Lep ( NYC Breakers ) , Iron Monkey ( Rock Force Crew/ LA ) ning Eesti mainet maailmas väga kõrgel hoidnud- Submission Crew .;Show'l
""" See debatt on Reformi listides käinud ja ma ei tea , kust Veskimägi nüüd sellega tuli , "" oli ta IRL-i kiirustades tehtud avapaugu peale pisut pahane .";listides
Viimastel päevadel üle Eesti kuulsaks saanud Teet Põder ( 37 ) , kes alates laupäevast Mäolt Sõmerpalu poole astus , et seal elavat isa kartulivõtul abistada , jõudis eile südapäeva paiku sihtkohta .;Mäolt
Esimene plahvatus käis kell pool kaheksa hommikul tühjas rongivagunis , teine aga rahvast täis rongis , kus oligi kõige rohkem ohvreid .;rongivagunis
"Endiselt on Poola ühes ja samas maanteeruumis kolm erinevat maailma : talumees , kelle jaoks on maantee osa tema põllust ning ta astub seal üles kas oma veiste , traktori , hobuveoki või muu üllatusliku riistapuuga ; väiksed fiatid , mis liiguvad küll talumeestest kiiremini ja järgivad liikluseeskirju , kuid siiski takistavad meie mõistes normaalset sõitmist ; liiklus , mida meie liikluseks peame .";talumeestest
""" Tulevikus politseiniku või tolliametniku elukutset ihkav tütarlaps lisas , et paljud käivad sisseastumiskatsetel lihtsalt hasardist .";hasardist
Peeter Marvet käis Saksamaal maailma suurimal arvutimessil CeBIT ning räägib nüüd mõnest põnevast imevigurist , mida ta seal nägi .;arvutimessil
Eile lõppenud Davosi majandusfoorumi viimase päeva esimesel sessioonil istus lugupeetud seltskond lauda arutama kultuuride heterogeensust ja konflikte .;sessioonil
Puhkuse ajal käis Mart oma absoluutse kuulmisega traalidel , akustilistel aparaatidel abiks kalaparvi otsimas .;traalidel
Jutt käib muusikamaastikust , mis on olnud ja jääb ilmselt alati marginaalseks , lõpuni kättesaamatuks selle suure ja kõikjal kohaloleva kommertsi ja meinstriimi suhtes .;muusikamaastikust
Külas käis vilgas väikeplokkidest majade ehitamine , sest iga naisevõttu plaaniv mees peab enne abiellumist eluaseme valmis saama .;väikeplokkidest
"Kunagi jooksis Taani telekanalitel Carlsbergi õllereklaam , milles Taanimaalt noruspäi lahkuvad Saksa sõdurid arutavad : "" Ah , ega siin Taanis midagi head olnudki .";Taanimaalt
Soojusenergia , mida harilikult kannab minema vesi , lahkub reaktorist hoopis inertgaasi heeliumi abil .;reaktorist
Ilmselt ei õnnestu ühelgi külalisel sellest Poola prints Kraki järgi nime saanud linnast pääseda enne , kui ta pole käinud Kazimirezis , mis on Waweli mäe kõrval üks linna suuremaid turistipeibutusi .;Kazimirezis
Sidney olümpia-mängudel käis kultuuriminister Signe Kivi .;olümpia-mängudel
Mullusel MM-il sõitsid selles paadiklassis hoopis Igor Kuzmin ja Andrei Jämsa , Pärnu-Narva seganeljases istusid veel Silver Sonntak ja Andrei Šilin .;seganeljases
Stockmanni kaubamaja juures asuva Jõuluvana Johannese kuuseäri ees käis eile õhtuhämaras kibekiire riietumine .;õhtuhämaras
Eile käisid eksamikeskuses nõu küsimas ka Juhkentali gümnaasiumi abituriendid ja nende lapsevanemad .;eksamikeskuses
"Erinevalt "" üksikust bussijuhist "" ja "" aleviku müüjast "" käib ta sagedamini huvialaringides , näiteks pere- ja naisteühendustes , suhtleb rohkem inimestega ja on ühiskondlikult aktiivsem , kuid tema aktiivsus on nn klubilist laadi .";huvialaringides
"Tihtipeale astusid nad türklastest mööda , "" kirjeldas Enden .";türklastest
Martha's Vineyardis , mis on Milesile omamoodi südame kodu - koht , kus ta peaks tegelikult elama , kui saaks - , on Russo käinud perega aastaid ja see püsib neile maagilise paigana , sest neil on seal omavahel nii hea olla .;Martha's
Kliendid on nii massaažiteenust pakkuvad firmad kui ka eraisikud , kes käivad massaažikoolis lihtsalt oma huvist .;massaažikoolis
Videvikus liiguvad loomad ja inimestel on kanapimedus ehk nõrgenenud nägemine pimedas või hämaras .;Videvikus
Linnaosade juures tegutsevad alaealiste komisjonid ei käi töömahust üle , probleemi uurinud töörühm soovitab juurde palgata sekretärid ja erinoorsootöötajad ning moodustada linnavalitsuse juurde komisjonide tööd korraldava alalise töörühma .;töömahust
Eesti-suuruste õnneks ei käi poliitika europarlamendis riigiti , vaid fraktsiooniti .;europarlamendis
Anton tunnistas , et tegu on tundliku teemaga , sest jutt käib riigi valitsemiskulude suurendamisest .;suurendamisest
Noormehed käisid välibasseinis ja lasid liugteelt liugu , kuid see kõik ei köitnud neid piisavalt ning nii otsustatigi proovida Eestis seni küllaltki kesist kandepinda leidnud spordiala kujundujumist .;välibasseinis
"Eile õhtul , pärast Priit Pedajase "" Mauruse kooli "" esietendust Eesti Draamateatris kuulutati tänavuse laureaadina välja Panso-kooli neljanda kursuse tudeng Kaido Veermäe , kes seekordses Tammsaare-lavastuses astub üles Indrekuna .";Tammsaare-lavastuses
24. septembril vahistatud Bermani süü tõendamine oli kerge , sest kelm käis ise müügitehingul raha vastu võtmas , mistõttu kannatanud tundsid ta ära .;müügitehingul
Belgradi raadio hinnanguil käis vaatamata kahe juhtiva opositsioonipartei kõrvalejäämisele hääletamas üle 60 protsendi valijaskonnast , erandina Kosovo , kus enamuses olevad albaanlased valimistel ei osalenud .;kõrvalejäämisele
Reaalkoolist pole viimase õppeaasta jookul lahkunud ükski õpetaja .;Reaalkoolist
Kuid Tuppits möönis , et käis jalatsikaupluse naisteosakonnas ja seal müüdud saapaid pole võimalik meie talves kasutada .;naisteosakonnas
Tulles viis päeva enne maavõistlusi kokku , käime golfirajal ja ujumas , üritame luua vajalikku ühtekuuluvustunnet .;golfirajal
""" Käed liiguvad Schäublel aga tänu imele , sest kui kuul oleks tabanud tema selga kaks millimeetrit kõrgemal , oleks nüüd halvatud ka käed .";Schäublel
Laadaplatsil käib vilgas elu ja kuulda on igasuguseid keeli .;Laadaplatsil
""" Muusiku õudusunenägu oli kolhoosiesimees , kes astus pärast seitsmetunnist mängu meie juurde ja ütles , et mängige veel , mille eest me teile maksame !";seitsmetunnist
Tänavu on Rock Summeri korraldusmeeskonnast lahkunud mitu aastat festivali organiseerinud mehed , kes vastutasid programmi , tehnika ja tollidokumentide korraldamise ning muu asjaajamise eest .;korraldusmeeskonnast
Võhma Lihakombinaadi tervikvarale ostusoovi esitanud kontserni Trade Energy Best ( TEB ) esindajad tegid pankrotihaldurile taotluse ostu-müügilepingu edasilükkamiseks ja käisid majandusministri juures oma seenekasvatusprojektile toetust palumas .;seenekasvatusprojektile
Tartus oli kolmapäeval liivatamata kõnniteede ohvreid 30 , kellest 10 lahkusid ülikooli kliinikumist kipsis jalaga .;kipsis
Uue Meedia teine oluline ülesanne on hoida infosajandisse astuvat inimest kursis arvuti- ja mobiilimaailma uusimate suundumuste ning samuti seal toimuvaga .;infosajandisse
Polegi , muide , eales kutsunud , alatasa käime talle omal hakatusel aastate kulgu meenutamas .;hakatusel
Linnaplaneerimisameti juhataja Hain Karu ja linnasekretär Toomas Sepp istuvad sinivalges lasterongis nimega Toomas .;lasterongis
Tegu on tehnoloogiamaailma uue superriigiga , kes on liikunud sammhaaval odava allhanke pakkujast kohalikel oskustel ja teadmistel baseeruva maailmamajanduse juhtriigi poole .;pakkujast
Küsimus ei ole ju treki ehitamises ega purjekate ostmises , jutt käib ettevalmistusrahast .;ettevalmistusrahast
Teisest küljest vaadatuna esines ka vastupidine käitumine - tervelt 28 protsenti vastanutest oli vaatamata tervisehäirele või haigusele käinud tööl .;tervisehäirele
Kukutatud president Mobutu Sese Seko lahkus eile Togost ning suundus Marokosse .;Togost
Kui TV3 konkurent Kanal 2 käis varasügisel välja uue igapäevaõhtuse Ristküsitluse , ütles TV3 programmidirektor , et viktoriinide turg oli juba enne seda ammu täis .;varasügisel
Artiklitest jääb mulje , et netis ainult kahtlased tüübid ja abielurikkujad käivadki .;netis
Ameeriklastel on omamoodi õigus pahane olla , sest riigi esindajad istusid tõepoolest töörühmas ja kirjutasid alla .;töörühmas
Politseikolledžisse astunud noored asuvad õppima uute kompetentsipõhiste õppekavade järgi , kus kolmekuulisele loengute perioodile järgneb samapikk praktikaaeg .;Politseikolledžisse
""" Noortel , kes klubides-pubides-kontsertidel käivad , võib järgmisel päeval tekkida ajutisi kuulmisraskusi , peas sumiseda-piniseda , isegi tasakaaluhäireid tekkida , kuid need on mööduvad nähtused , "" selgitas Merilind .";klubides-pubides-kontsertidel
Koalitsiooniväed liiguvad sealsetel aladel tihti erarõivastes , kasutades sõidukeid , mis sarnanevad abiorganisatsioonide omadega .;erarõivastes
""" Olen käinud pdagoogikaülikoolis ja Tartu üikoolis tudengeid otsimas , aga erilist imevitsa nende meelitamiseks pole .";pdagoogikaülikoolis
Riigikontrolör avaldas rahulolu ja lootust , et mitmed käimasolevad tööd saavad alanud aastal uue hoo - näiteks käivad tööd riigi keskse dokumendihoidla projekteerimisel ja dokumendihaldussüsteemide liidestamiseks sellega .;projekteerimisel
Veel varem istus ta kuus aastat kinni teise mehe tapmise eest kakluses .;kakluses
"Rõivas tõdes , et ta siiski ei oota , et keeleinspektorid käiksid linnaosas valedele siltidele näpuga näitamas : "" Aga mind solvas , kui keeleinspektsioon väitis , et linnaosavalitsus suhtub küsimusse leigelt .";siltidele
Pirital elavad 1. klassi minevad lapsed käisid juba möödunud neljapäeval koos vanematega rannahoones koolialguse peol .;rannahoones
Tiia Eeskivi jooksis Norramaal Floros 400 m tõkkeid Eesti rekordiga 56,52 ning võitis esikoha .;Floros
Möödunud detsembrist töötab Maghira Fond keset tondilossi ning ühes majaosas käib hoogne ehitus .;majaosas
Kuigi tegu võiks olla üpris stereotüüpse rolliga , täidab oma karakteri eluga Larsi osa mängiv Nils Jørgen Kaalstad , kes astub esimest korda üles suurel linal .;linal
Priit Hõbemägi käis ekskursioonil Umberto Eco lapsepõlvemaailmas .;lapsepõlvemaailmas
Vaenlase armee käiks pingutuseta üle igast mõeldavast Eesti kaitsekonfiguratsioonist .;kaitsekonfiguratsioonist
Uus maailm on meie jaoks ka kunagisse vene laevastiku muuseumi ehitatud jaapani restoran , kus privaatses lauatoakeses istume ning kaugusest kostvat tasast igatsevat muusikat kuulame .;lauatoakeses
NATO toetuste puhul ei käi jutt üksikrajatistest , pigem on tegu poliitilise küsimusega .;üksikrajatistest
Näiteks praegugi käib USA-s Baini ja Galvexi teise rajaja Barry Bernsteni vahel vaidlus , kellele hetkel kuulub 10-15 protsenti Galvexist .;Baini
Kõndisin uhkel staadonil ringi , nii VIP-sektoris kui ka kõikvõimalikes koridorides , ning püüdsin mõista , kuhu oleme välja jõudnud ...;VIP-sektoris
Soome paremaid hinnatakse Euroopa tugevates sarjades , eelmisel aastal meistriks tulnud KuPS-ist lahkus pool põhikoosseisust .;põhikoosseisust
Kuus aastat tagasi astus Siff jõuliselt IT-ärisse .;IT-ärisse
Printsessi käib Tallinnas leinamas palju kooliõpilasi , tudengeid , Riigikogu liikmeid - inimesi tuleb kõikjalt Eestist .;Printsessi
Venelased käisid seal kroonimispidustustel ja tagasiteel peatusid Tallinnas .;kroonimispidustustel
""" Vähem istub Kanepile tema võrdlemine teise eksesireketi ameeriklanna Lindsay Davenportiga .";Kanepile
Istume Pirital Regati pst-l džiipi , võtame uudse vidina ette ja palume end juhatada Punga ja Kase tänava ristile .;pst-l
"Kui Kiku külas elav Vallo Koppel nägi oma mobiilis plinkivat teadet "" Kiku kuld "" , tundis ta korraks soovi labidas koduões mulda lüüa , siis aga taipas , et jutt käib suusakuninganna Šmiguni medalivõidust .";medalivõidust
"Samuti reostas märgatavalt vett Loksu sigala , kolmapäeval oli Salveesia hinnangul olukord sigala taga troostitu : vedeles mitmeaastane sõnnik , sigade korjused , luukered ja muu rämps ; sigalal pole siiani rajatud nõuetekohast läga ja sõnniku hoidlat ning ülejäägid satuvad põhjavette , mis aga liigub Tapa veega varustavasse veehaardesse .";veehaardesse
Küll jooksevad staadioni äärde pallimängudelt tuttavad tantsu-tüdrukud või meremehi püüd-ma kerglased naised .;pallimängudelt
""" Ilus tähistaevas on külm reaalsus , millel meiega eriti tegemist pole , "" ütleb astronoom Ene Ergma , kui astume Tartu tähetornist välja ja satume Toomemäel jalutades otse sügistalviselt täherikka taevalaotuse alla .";tähetornist
Masina eesosas liigub pöörlev pea , all sahad nagu vanadel lumekoristusmasinatel .;eesosas
Kobaras koos tõttasid nad Rocca al Mare suurhalli esiselt Kakumäe poole , esimestel kilomeetritel õhkus sammust särtsu ja olekust kuraasi .;esiselt
"Istusin otse soojadele sütele asetatud labidale ja suigatasin seniks , kuni tagumik kuumaks läks , "" lausus Tallinna üksik-päästekompanii noorsõdur .";labidale
76-aastasel Lennart Meril oli augustis ajuoperatsioon , pärast seda käis ta korralistel uuringutel Tallinna diagnostikakeskuses ja Mustamäe haiglas .;diagnostikakeskuses
Spordikommentaatori rollis astus Kalkun nendel aastatel üles mitmete oluliste spordivõistluste toomisel TV3 vaatajani : näiteks kergejõustiku mitmevõistlejate Reval Hotels Cup , murdmaasuusatamise MK-etapp Ramsaus , talvine Jumping Gala , suvine Kadrioru kergejõustikuõhtu ja jäähoki MM-võistluste mängud .;toomisel
""" Homme lõunani peame veel kindlustama , et vaenlane Avinurmest edasi ei liiguks . """;Avinurmest
Valge Maja kõnekirjutajate meeskonna boss istus presidendimaja läänetiivas oma akendeta toas ( nahkhiirekoopas , nagu ta ise nimetas ) ja tunnistas , et veel mõne päeva jooksul võib president kõnes muudatusi teha küll .;läänetiivas
Karin istub Veikole lähemal kui Naima .;Veikole
""" Kursman ( maadlejate peatreener ) käib ära Saksa-turneel ja kirjutab : "" Seal on iga sportlane pandud juhi režiimi alla .";Saksa-turneel
Talihooajal jooksis teravamalt Igor , suvel Oleg .;Talihooajal
Analüütikud oletavad ka , et Lebedi ja Tshernomõrdini vahel käib Tshetsheenia konflikti lahendamisel võistlus , millest kumbki lootvat endale plusspunkte , juhul kui Jeltsiniga midagi juhtub ja uued valimised toimuvad ennetähtaegselt .;lahendamisel
Ametlikku metallikokkuostu kanalisatsiooniluuke vastu ei võeta , kuigi Kuusakoski Kohtla-Järve juhi sõnul käib igal nädalal ikka paar pakkujat lootusrikkalt malmist luukidega kohal .;malmist
Seetõttu polegi tänaval ootamatu vaatepilt , kui vanem kolme lapsega on end ära mahutanud ühele jalgrattale : kaks pisikest põnni istuvad rattatoolides - üks lenkstangist ees- ja teine tagapool - ning pakiraamil on kõige suuremale lapsele jäetud kõige ebahuvitavam koht , täiskasvanu seljatagune .;rattatoolides
Nooruspõlves käis suusatreeningutel Anti abikaasa Kaija .;suusatreeningutel
"Briti sarjadest jookseb argihommikuti Yle1-st "" Heartbeat "" , enam kui kümne aasta eest alanud draamasari , mis pajatab Aidensfieldi küla politseijaoskonna tegemistest 1960. aastatel .";Yle1-st
Teraapiatoas istuvad inimesed vaguralt värviliste maalide ees ja ootavad imet .;Teraapiatoas
"Ning vahe on ka selles , et üks neist elab umbses provintsilinnas , teine liigub tuledesäras ja maailmalinnades , kus saab "" armastada avarust "" , hõõrdumise puudumist , jah , just seda "" ( Aino Kallas "" Suurlinnade udus ja säras "" ) .";tuledesäras
1992. aastal kuulutasid Vene miilitsad Smirnovi juhtimisel välja Dnestri-äärse vabariigi sõltumatuse ja astusid otsustavalt vastu Stalini-aegse vägivallaga Rumeeniast eraldatud Moldova liitmisele emamaaga .;liitmisele
""" Võimalik , et Jaanson ja Tasane istuvad selleks regatiks roolijaga kahepaati , "" avab Tults laiema avalikkuse eest varjul olnud kaardi .";kahepaati
Ka praegu liigub praam Venemaale kuuluvast Suursaare lääneküljest mööda väikese ringiga , igaks juhuks .;lääneküljest
