COLLECTION	SPANSTART	TYPE	TEXT
337255	872	Odeprel	nmod flat case nmod amod cc advmod conj amod nmod cc conj flat obj acl nmod case punct nmod parataxis mark amod conj cc conj nmod punct punct advmod obj advmod root punct
337255	872	Sdeprel	root flat case nmod amod cc advmod conj amod nmod cc conj flat obj acl nmod case _ _ _ _ _ _ _ _ _ _ punct advmod obj advmod advcl punct
			
652378	683350	O	Odava internetiga ( ükskõik mis teenusega ) ülikvaliteetset supporti paraku ei saa .
652378	683350	S	Odava internetiga ülikvaliteetset supporti paraku ei saa .
652378	683350	Odeprel	acl obl punct advmod nmod parataxis punct amod obj advmod aux root punct
652378	683350	Sdeprel	acl nmod _ _ _ _ _ amod obj advmod aux root punct
			
364096	171656	O	( 30- - 50- ) . .
364096	171656	S	. .
364096	171656	Odeprel	punct root punct punct conj punct punct punct punct
364096	171656	Sdeprel	_ _ _ _ _ _ _ root
			
606908	7743	O	MÄÄRUSE ( EMÜ ) nr 3388/81 ARTIKLI 6 KOHALDAMINE
606908	7743	S	MÄÄRUSE nr 3388 / 81 ARTIKLI 6 KOHALDAMINE
606908	7743	Odeprel	nmod punct appos punct nmod nummod punct conj nmod nummod root
606908	7743	Sdeprel	nmod _ _ _ appos nummod punct nummod nmod nummod root
			
636436	29969	O	Kõnealune tuhastamine , mis võtab aega mõne tunni ( 3-5 tundi ) , on lõppenud , kui tuhk on valge või peaaegu valge .
636436	29969	S	Kõnealune tuhastamine , mis võtab aega mõne tunni , on lõppenud , kui tuhk on valge või peaaegu valge .
636436	29969	Odeprel	amod nsubj punct nsubj acl:relcl obj det obl punct parataxis punct conj nmod punct punct aux root punct mark nsubj:cop cop advcl cc advmod conj punct
636436	29969	Sdeprel	amod nsubj:cop punct nsubj acl:relcl obj det obl _ _ _ _ _ _ punct cop root punct mark nsubj:cop cop advcl cc advmod conj punct
			
667204	1273097	O	Praeguse Riigikontrolli seaduse analoogia alusel võime jõuda selleni , et seame ka presidendi , Riigikogu liikme ( härra Leps vist on juba üle 60 ) , Riigikohtu liikme , õiguskantsleri jne vanusepiiriks 60 aastat .
667204	1273097	S	Praeguse Riigikontrolli seaduse analoogia alusel võime jõuda selleni , et seame ka presidendi , Riigikogu liikme , Riigikohtu liikme , õiguskantsleri jne vanusepiiriks 60 aastat .
667204	1273097	Odeprel	amod nmod nmod nmod nmod root acl obl punct mark acl advmod obj punct nmod conj punct parataxis appos advmod cop advmod advmod parataxis punct punct nmod conj punct conj nmod xcomp nummod nmod punct
667204	1273097	Sdeprel	amod nmod nmod nmod nmod root acl obl punct mark acl advmod nmod punct nmod conj _ _ _ _ _ _ _ _ _ punct nmod conj punct conj nmod xcomp nummod obj punct
			
140966	433	O	Sinna kuuluvad nii kogu riistvara ( server , terminalid , monitorid ) , tarkvara ( internetibrauser , e-post , kontorirakendused , viirusetõrje ) , kui ka näiteks teenused nagu andmete säilitamine ja süsteemihaldus .
140966	433	S	Sinna kuuluvad nii kogu riistvara , tarkvara , kui ka näiteks teenused nagu andmete säilitamine ja süsteemihaldus .
140966	433	Odeprel	advmod root advmod det nsubj punct parataxis punct conj punct conj punct punct conj punct parataxis punct conj punct conj punct conj punct punct mark advmod advmod conj advmod nmod conj cc conj punct
140966	433	Sdeprel	advmod root cc:preconj det nsubj _ _ _ _ _ _ _ punct conj _ _ _ _ _ _ _ _ _ punct cc advmod advmod conj mark nmod advcl cc conj punct
			
434750	1130	O	Möödus kuu-kaks ja juba tuli tartlaste ühisavaldus ( Pindi Kinnisvara , Arco Vara ja Eravara ) korterihindade kuni 25-protsendilise languse kohta .
434750	1130	S	Möödus kuu-kaks ja juba tuli tartlaste ühisavaldus korterihindade kuni 25-protsendilise languse kohta .
434750	1130	Odeprel	root nsubj cc advmod conj nmod nsubj punct nmod parataxis punct conj flat cc conj punct obl case amod nmod case punct
434750	1130	Sdeprel	root nsubj cc advmod conj nmod nsubj _ _ _ _ _ _ _ _ _ nmod case amod nmod case punct
			
452697	3685	O	Oma kuldne Kunglamaa on olemas nii Isamaaliidul ( see oli 1990. aastate esimese poole rikastumise periood ) kui ka KMÜ-l .
452697	3685	S	Oma kuldne Kunglamaa on olemas nii Isamaaliidul kui ka KMÜ-l .
452697	3685	Odeprel	nmod amod nsubj root xcomp advmod nsubj punct nsubj:cop cop amod nmod amod nummod nmod parataxis punct cc advmod conj punct
452697	3685	Sdeprel	nmod amod nsubj root xcomp cc:preconj obl _ _ _ _ _ _ _ _ _ _ cc advmod conj punct
			
267550	1954	O	Mehed veteranid - Pihlak Peeter ( Öörull ) , Noormehed kuni 12 - Rei Raido ( Öörull ) , Neiud kuni 16 - Kolk Karine ( Elva SPKL ) , Noormehed kuni 16 - Tõld Siim ( MSK Väike Munamägi ) , Tüdrukud kuni 12 aastased - Koppel Kadi Liis ( A & T Skibikers ) , Poisid kuni 12 - Karik Kaspar ( HK Hansa sport ) .
267550	1954	S	Mehed veteranid - Pihlak Peeter , Noormehed kuni 12 - Rei Raido , Neiud kuni 16 - Kolk Karine , Noormehed kuni 16 - Tõld Siim , Tüdrukud kuni 12 aastased - Koppel Kadi Liis , Poisid kuni 12 - Karik Kaspar .
267550	1954	Odeprel	nmod root punct appos flat punct appos punct punct conj case orphan punct conj flat punct parataxis punct punct conj case nummod punct conj flat punct nmod parataxis punct punct conj case nummod punct parataxis flat punct nmod amod parataxis punct punct conj case nummod conj punct parataxis flat flat punct appos flat flat flat punct punct conj case nummod punct appos flat punct nmod flat parataxis punct punct
267550	1954	Sdeprel	nmod root punct appos flat _ _ _ punct conj case orphan punct conj flat _ _ _ punct conj case nummod punct appos flat _ _ _ _ punct conj case nummod punct parataxis flat _ _ _ _ _ punct nsubj:cop case nummod conj punct parataxis flat flat _ _ _ _ _ _ punct conj case nummod punct conj flat _ _ _ _ _ punct
			
472472	337	O	Hillar sai kohtumisest ainult moraalset kasu ( tänuväärset materjali oma järgmistele kirjadele ) , riigiametisse ligi pool aastat töötuleiba maitsnud endist katlamaja abitöölist vastsed tuttavad ei aidanud .
472472	337	S	Hillar sai kohtumisest ainult moraalset kasu , riigiametisse ligi pool aastat töötuleiba maitsnud endist katlamaja abitöölist vastsed tuttavad ei aidanud .
472472	337	Odeprel	nsubj root obl advmod amod obj punct amod parataxis nmod amod nmod punct punct obl advmod nummod obl obl conj amod nmod nmod nsubj obj aux conj punct
472472	337	Sdeprel	nsubj root obl advmod amod obj _ _ _ _ _ _ _ punct obl advmod nummod obl obl conj amod nmod obj nsubj obj aux conj punct
			
210966	331	O	Ehk ei osatud arvata , et sellest ülekandest kujuneb Eesti suusaajaloo kõrghetk , aga küllap jälgiti võistlust muudest võrkudest - internetist ( mobiiltelefonist ) .
210966	331	S	Ehk ei osatud arvata , et sellest ülekandest kujuneb Eesti suusaajaloo kõrghetk , aga küllap jälgiti võistlust muudest võrkudest - internetist .
210966	331	Odeprel	advmod aux root xcomp punct mark det obl ccomp nmod nmod nsubj punct cc advmod conj obj det nmod punct appos punct parataxis punct punct
210966	331	Sdeprel	advmod aux root xcomp punct mark det obl ccomp nmod nmod nsubj punct cc advmod conj obj det obl punct appos _ _ _ punct
			
73114	2701	O	o Delgado ( Por ) - Kazem Sarikhani ( Irn ) ippon
73114	2701	S	o Delgado - Kazem Sarikhani ippon
73114	2701	Odeprel	nmod flat punct appos punct punct conj flat punct parataxis punct root
73114	2701	Sdeprel	root flat _ _ _ punct nmod flat _ _ _ appos
			
176172	0	O	TALLINN , 16.märts ( EPLO ) - Hoolimata sellest , et purjuspäi üliraske liiklusõnnetuse põhjustanud Karin Arula ei ole pool aastat vanglasse karistust kandma ilmunud , ei ole politsei tema otsimisega tegelenud , kirjutab SL Õhtuleht .
176172	0	S	TALLINN , 16. märts - Hoolimata sellest , et purjuspäi üliraske liiklusõnnetuse põhjustanud Karin Arula ei ole pool aastat vanglasse karistust kandma ilmunud , ei ole politsei tema otsimisega tegelenud , kirjutab SL Õhtuleht .
176172	0	Odeprel	nsubj punct amod appos punct parataxis punct punct case obl punct mark advmod amod obj acl nsubj flat aux aux nummod obl obl obj xcomp conj punct aux aux nsubj nmod obl root punct conj nsubj flat punct
176172	0	Sdeprel	nsubj:cop punct amod appos _ _ _ punct case nmod punct mark advmod amod obj acl nsubj flat aux aux nummod obl obl obj xcomp conj punct aux cop nsubj:cop nmod obl root punct conj nsubj flat punct
			
328779	1167	O	Sushi puhul on väga oluline ilus serveerimine , moodsa sushi juurde käivad igal juhul ( nagu traditsioonilise sushi puhulgi ) lisandid - marineeritud ingver , wasabi ( teravamaitseline roheline pasta ) ja sojakaste , mis kõik on Eestis suuremates toidupoodides saadaval .
328779	1167	S	Sushi puhul on väga oluline ilus serveerimine , moodsa sushi juurde käivad igal juhul lisandid - marineeritud ingver , wasabi ja sojakaste , mis kõik on Eestis suuremates toidupoodides saadaval .
328779	1167	Odeprel	obl case cop advmod root amod nsubj:cop punct amod obl case conj det obl punct mark amod parataxis case punct nsubj punct parataxis obj punct conj punct amod amod parataxis punct cc conj punct nsubj:cop det cop obl amod obl acl:relcl punct
328779	1167	Sdeprel	root case cop advmod amod amod nsubj:cop punct amod obl case conj det obl _ _ _ _ _ _ nsubj punct acl appos punct conj _ _ _ _ _ cc conj punct nsubj:cop det cop obl amod obl acl:relcl punct
			
698262	4400	O	Määruse ( EMÜ ) nr 1785/81 artikli 1 lõike 1 punktis f osutatud tootmistoetust antakse ainult tootele :
698262	4400	S	Määruse nr 1785 / 81 artikli 1 lõike 1 punktis f osutatud tootmistoetust antakse ainult tootele :
698262	4400	Odeprel	nmod punct appos punct nmod nummod punct nummod nmod nummod nmod nummod obl nmod root obj conj advmod obl punct
698262	4400	Sdeprel	obl _ _ _ appos nummod punct nummod nmod nummod obl nummod obl appos acl obj root advmod obl punct
			
402674	2621	O	Siis väitsid nii EP president kui ka Riigikogu fraktsioonide ( sh. Reformierakonna ) esindajad , et täiendav kontrollimine on õige otsustada eraldi otsusega .
402674	2621	S	Siis väitsid nii EP president kui ka Riigikogu fraktsioonide esindajad , et täiendav kontrollimine on õige otsustada eraldi otsusega .
402674	2621	Odeprel	advmod root cc:preconj advmod nsubj cc advmod nmod nmod punct nmod parataxis punct nsubj punct mark acl nsubj:cop cop acl csubj:cop amod obl punct
402674	2621	Sdeprel	advmod root cc:preconj advmod nsubj cc advmod nmod nmod _ _ _ _ conj punct mark acl nsubj:cop cop ccomp csubj:cop amod obl punct
			
656107	2791962	O	Järgmisel nädalal avatakse Tallinnas aadressil Tatari 6 ( paar sammu Vabaduse väljakult , enne Tänav-restorani paremal poolel tänavat , suured klaasaknad ) üks rokkibaar , millest saate lugeda tänasest Päevalehest täpsemalt .
656107	2791962	S	Järgmisel nädalal avatakse Tallinnas aadressil Tatari 6 üks rokkibaar , millest saate lugeda tänasest Päevalehest täpsemalt .
656107	2791962	Odeprel	amod obl root obl obl nmod nummod punct nummod parataxis nmod nmod punct case nmod amod nmod nmod punct amod conj punct det obj punct obl aux acl:relcl amod obl advmod punct
656107	2791962	Sdeprel	amod obl root obl obl nmod flat _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ det obj punct obl aux acl:relcl amod obl advmod punct
			
630367	1011	O	võttes arvesse nõukogu 29. oktoobri 1975. aasta määrust ( EMÜ ) nr 2777/75 kodulinnulihaturu ühise korralduse kohta ,  5  viimati muudetud komisjoni määrusega ( EÜ ) nr 2916/95 ,  6  eriti selle artiklit 22 ,
630367	1011	S	võttes arvesse nõukogu 29. oktoobri 1975. aasta määrust nr 2777 / 75 kodulinnulihaturu ühise korralduse kohta , 5 viimati muudetud komisjoni määrusega nr 2916 / 95 , 6 eriti selle artiklit 22 ,
630367	1011	Odeprel	advcl obl nmod amod nmod amod nmod obj punct parataxis punct nmod nummod punct conj nmod amod obl case punct obj advmod root nmod obl punct parataxis punct nmod nummod punct conj punct nummod advmod nmod obj nummod punct
630367	1011	Sdeprel	root obl nmod amod nmod amod nmod obj _ _ _ nmod nummod punct conj nmod amod obl case punct nummod advmod acl nmod nmod _ _ _ nmod nummod punct flat advmod nmod conj nummod punct
			
488468	6915	O	Niivõrd kõneka kaanepildi puhul pole enam tarvidustki hakata kokku veerima piseldast trükikirja ümbrispaberilt (  love stories  ) , sest selletagi peaks olema ilmne , milline muusika albumi sisemuses sumiseb .
488468	6915	S	Niivõrd kõneka kaanepildi puhul pole enam tarvidustki hakata kokku veerima piseldast trükikirja ümbrispaberilt , sest selletagi peaks olema ilmne , milline muusika albumi sisemuses sumiseb .
488468	6915	Odeprel	advmod amod root case cop advmod nsubj:cop acl compound:prt xcomp obj nmod obl punct appos flat punct punct mark obl aux cop advcl punct nsubj nmod nmod obl csubj:cop punct
488468	6915	Sdeprel	advmod amod root case cop advmod nsubj:cop acl compound:prt xcomp obj nmod nmod _ _ _ _ punct mark obl aux cop advcl punct nsubj nmod nmod obl csubj:cop punct
			
632269	6231	O	Kohaldatakse komisjoni määrust ( EMÜ ) nr 2220/85 , kui käesolevas määruses pole sätestatud teisiti .
632269	6231	S	Kohaldatakse komisjoni määrust nr 2220 / 85 , kui käesolevas määruses pole sätestatud teisiti .
632269	6231	Odeprel	root nmod obj punct parataxis punct nmod obl punct conj punct mark acl obl cop nsubj:cop advcl punct
632269	6231	Sdeprel	root nmod obj _ _ _ nmod nummod punct flat punct mark acl obl aux advcl advmod punct
			
248756	2871	O	; Peeter Kreitzbergi ( 52 ) toetuseks andsid oma allkirja 26 saadikut Keskerakonnast , kuus Eestimaa Rahvaliidust , neli Koonderakonnast ja üks Eestimaa Ühendatud Rahvapartei saadikurühmast .
248756	2871	S	; Peeter Kreitzbergi toetuseks andsid oma allkirja 26 saadikut Keskerakonnast , kuus Eestimaa Rahvaliidust , neli Koonderakonnast ja üks Eestimaa Ühendatud Rahvapartei saadikurühmast .
248756	2871	Odeprel	punct nmod flat punct parataxis punct obl root nmod obj nummod nsubj nmod punct conj nmod nmod punct conj nmod cc nummod nmod conj nmod nmod punct
248756	2871	Sdeprel	punct nmod flat _ _ _ obl root nmod obj nummod nsubj nmod punct conj nmod nmod punct conj nmod cc det nmod conj nmod nmod punct
			
504649	3124	O	Stanislav Olijar ( Läti ) 14 , 31 ; 400 m tj .
504649	3124	S	Stanislav Olijar 14 , 31 ; 400 m tj .
504649	3124	Odeprel	root flat punct appos punct nummod punct conj nmod flat punct
504649	3124	Sdeprel	root flat _ _ _ nummod punct nummod nmod conj punct
			
529580	6918	O	Octopussyt kehastanud Rootsi päritolu eksmodell Adams ( s. 1945 ) läheb bondiaana ajalukku kui naine , kes on mänginud koguni kolmes agent 007 seikluses .
529580	6918	S	Octopussyt kehastanud Rootsi päritolu eksmodell Adams läheb bondiaana ajalukku kui naine , kes on mänginud koguni kolmes agent 007 seikluses .
529580	6918	Odeprel	nsubj advcl nmod nmod nsubj appos punct parataxis punct parataxis punct root nmod obl mark advcl punct nsubj aux acl:relcl advmod nummod nmod nummod obl punct
529580	6918	Sdeprel	nsubj root nmod nmod nsubj appos _ _ _ _ _ conj nmod obl mark advcl punct nsubj:cop cop acl:relcl advmod nummod nmod nummod obl punct
			
700537	98992	O	Meie oludes on aga ohurühmaks pensionärid ja töötud inimesed ( 2002. a 48% haigetest ) .
700537	98992	S	Meie oludes on aga ohurühmaks pensionärid ja töötud inimesed .
700537	98992	Odeprel	nmod obl cop advmod root nsubj:cop cc conj conj punct amod parataxis nummod nmod punct punct
700537	98992	Sdeprel	nmod obl cop advmod root nsubj:cop cc acl conj _ _ _ _ _ _ punct
			
696140	28172	O	Ühendustorud sondi , jahutusseadise , laiendusmahuti ( kui see on vajalik ) ja suitsususe mõõturi vahel peavad olema võimalikult lühikesed ning vastama VII lisa punktides 3.8 ja 3.9 kirjeldatud rõhu- ja temperatuurinõuetele .
696140	28172	S	Ühendustorud sondi , jahutusseadise , laiendusmahuti ja suitsususe mõõturi vahel peavad olema võimalikult lühikesed ning vastama VII lisa punktides 3.8 ja 3.9 kirjeldatud rõhu- ja temperatuurinõuetele .
696140	28172	Odeprel	nsubj:cop nmod punct conj punct conj punct mark nsubj:cop cop parataxis punct cc nmod obl case aux cop advmod root cc conj amod nmod obl nummod cc conj conj obl cc conj punct
696140	28172	Sdeprel	nsubj:cop nmod punct conj punct conj _ _ _ _ _ _ cc conj nmod case aux cop advmod root cc conj amod nmod obl nummod cc conj conj obl cc conj punct
			
569750	1530	O	See oli kolm aastat tagasi ( september 1999 - A. T. ) , siis olid ajad teised .
569750	1530	S	See oli kolm aastat tagasi , siis olid ajad teised .
569750	1530	Odeprel	nsubj:cop cop nummod obl case punct parataxis nummod punct conj punct conj punct punct punct cc cop nsubj:cop root punct
569750	1530	Sdeprel	nsubj:cop cop nummod root case _ _ _ _ _ _ _ _ _ punct cc cop nsubj:cop conj punct
			
675495	1405	O	3 ) pakkumismenetluse teel müüdava koguse suurendamine tingib piirkondade ja ladustatavate koguste loetelu muutmise ; seetõttu tuleb muuta määruse ( EÜ ) 1123/98 I lisa ;
675495	1405	S	3 ) pakkumismenetluse teel müüdava koguse suurendamine tingib piirkondade ja ladustatavate koguste loetelu muutmise ; seetõttu tuleb muuta määruse 1123 / 98 I lisa ;
675495	1405	Odeprel	parataxis punct obl case acl nmod nsubj root nmod cc acl conj nmod obj punct advmod parataxis csubj nmod punct parataxis punct nummod punct conj flat obj punct
675495	1405	Sdeprel	parataxis punct obl case acl nmod nsubj root nmod cc acl conj nmod obj punct advmod parataxis csubj obj _ _ _ nummod punct conj flat obj punct
			
621393	3636	O	( 1 ) Raudteeinfrastruktuuri-ettevõtja poolt siht- ja saatepunktidega kindlaksmääratud raudteelõikudel ( edaspidi kindlaksmääratud raudteelõigud ) korraldab raudteeinfrastruktuuri-ettevõtja igal aastal omal algatusel avaliku konkursi .
621393	3636	S	Raudteeinfrastruktuuri-ettevõtja poolt siht- ja saatepunktidega kindlaksmääratud raudteelõikudel korraldab raudteeinfrastruktuuri-ettevõtja igal aastal omal algatusel avaliku konkursi .
621393	3636	Odeprel	punct parataxis punct obl case obl cc conj acl obl punct advmod acl parataxis punct root nmod det obl amod obl amod obj punct
621393	3636	Sdeprel	_ _ _ obl case obl cc conj acl obl _ _ _ _ _ root nsubj det obl amod obl amod obj punct
			
62970	1303	O	Milwaukee-Orlando 89-77 ( M : Allen 25 , O : McGrady 26/10 , Armstrong 20 )
62970	1303	S	Milwaukee-Orlando 89 - 77
62970	1303	Odeprel	root nummod punct flat punct parataxis punct flat flat punct conj punct flat flat punct nummod punct conj nummod punct
62970	1303	Sdeprel	root nummod punct conj _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
			
377912	40	O	Joosep Toots ( 8 ) elab ema-isa ja väikse õega Võru linnas kolmetoalises korteris .
377912	40	S	Joosep Toots elab ema-isa ja väikse õega Võru linnas kolmetoalises korteris .
377912	40	Odeprel	nsubj flat punct parataxis punct root nmod cc amod conj nmod obl amod obl punct
377912	40	Sdeprel	nsubj flat _ _ _ root obl cc amod conj nmod obl amod obl punct
			
69354	322	O	Kuna valimisliitudesse eitavalt suhtunud mõõdukate , isamaalaste ja rahvaparteilaste valimisliidu loomine pole veel otsustatud - asjasse puutuvatel erakondadel on mõtlemis- ja vaidlemisaega oktoobri keskpaigani , võiks pidada Andres Tarandi teadannet ( PM , 16. sept ) dünamiidi viskamiseks jõesängi .
69354	322	S	Kuna valimisliitudesse eitavalt suhtunud mõõdukate , isamaalaste ja rahvaparteilaste valimisliidu loomine pole veel otsustatud - asjasse puutuvatel erakondadel on mõtlemis- ja vaidlemisaega oktoobri keskpaigani , võiks pidada Andres Tarandi teadannet dünamiidi viskamiseks jõesängi .
69354	322	Odeprel	mark obl advmod acl amod punct conj cc conj nmod nsubj:cop cop advmod advcl punct obl acl parataxis cop nsubj:cop cc conj nmod obl punct aux root nmod flat obj punct parataxis punct amod conj punct nmod obl obj punct
69354	322	Sdeprel	mark obl advmod acl amod punct conj cc conj nmod nsubj:cop cop advmod advcl punct obl acl parataxis cop nsubj:cop cc conj nmod obl punct aux root nmod flat obj _ _ _ _ _ _ nmod nmod obj punct
			
15459	136	O	"Varem kaks korda karistatud Igor Starovoitovilt ( 33 ) leidis politsei neli aastat tagasi 39 võltsitud "" jakobsoni "" ."
15459	136	S	"Varem kaks korda karistatud Igor Starovoitovilt leidis politsei neli aastat tagasi 39 võltsitud "" jakobsoni "" ."
15459	136	Odeprel	advmod nummod obl acl nsubj flat punct parataxis punct root nsubj nummod obl case obj xcomp punct obj punct punct
15459	136	Sdeprel	advmod nummod obl acl obl flat _ _ _ root nsubj nummod obl case obl xcomp punct obj punct punct
			
482471	2696	O	Nüüd on teisiti ning Ultima Thule probleem ( või trump - kui nad tõesti on kord rikkad , kuulsad jne ) seisneb nimelt selles , kuivõrd ohutult kõik need sõlmhetked siin avatuiks on artikuleeritud .
482471	2696	S	Nüüd on teisiti ning Ultima Thule probleem seisneb nimelt selles , kuivõrd ohutult kõik need sõlmhetked siin avatuiks on artikuleeritud .
482471	2696	Odeprel	advmod cop root cc nmod flat nsubj:cop punct cc parataxis punct mark nsubj:cop advmod cop obl parataxis punct conj obl punct conj advmod obl punct mark advcl det det nsubj:cop advmod xcomp cop acl punct
482471	2696	Sdeprel	advmod cop root cc nmod flat nsubj _ _ _ _ _ _ _ _ _ _ _ _ _ _ conj advmod obl punct mark advcl det det obj advmod xcomp aux acl punct
			
405147	606	O	12. jaanuaril sisenes kodanik P.P. ( nimi muudetud ) Tartus Betooni tänava ehitustarvete kauplusesse ja nõudis ostjalt tellist .
405147	606	S	12. jaanuaril sisenes kodanik P . P . Tartus Betooni tänava ehitustarvete kauplusesse ja nõudis ostjalt tellist .
405147	606	Odeprel	amod obl root nsubj appos punct conj punct punct obj parataxis punct obl nmod nmod nmod obl cc conj obl obj punct
405147	606	Sdeprel	amod obl root nsubj obl nmod nmod nmod _ _ _ _ obl cc conj obl obj punct
			
649713	3136	O	Määrust ( EMÜ ) nr 2699/93 muudetakse järgmiselt :
649713	3136	S	Määrust nr 2699 / 93 muudetakse järgmiselt :
649713	3136	Odeprel	obj punct appos punct nmod obl punct conj root advmod punct
649713	3136	Sdeprel	obj _ _ _ nmod nummod punct conj root advmod punct
			
596683	97	O	Ma tunnen , kuidas minu elukutse kallal naaguvad võhikud : õpetajad saavad ju aina palka juurde ( peaaegu igal aastal käsitleb meedia õpetaja palgaküsimust ) ; tulevad juba lõunast koju ; isegi pikk puhkus ; lapsed ei õpi , ei oska , sest neid ei õpetata , ei kasvatata jne.
596683	97	S	Ma tunnen , kuidas minu elukutse kallal naaguvad võhikud : õpetajad saavad ju aina palka juurde ; tulevad juba lõunast koju ; isegi pikk puhkus ; lapsed ei õpi , ei oska , sest neid ei õpetata , ei kasvatata jne .
596683	97	Odeprel	nsubj root punct mark nmod obl case ccomp nsubj punct nsubj parataxis advmod advmod obj compound:prt punct advmod det obl parataxis nmod nmod obj punct punct conj advmod obl obl punct advmod amod nsubj punct nsubj aux conj punct aux conj punct mark obj aux advcl punct aux parataxis obl punct
596683	97	Sdeprel	nsubj root punct mark nmod obl case ccomp nsubj punct nsubj parataxis advmod advmod obl case _ _ _ _ _ _ _ _ _ punct conj advmod obl obl punct advmod amod nsubj punct nsubj aux conj punct aux conj punct mark obj aux advcl punct aux conj obl punct
			
379099	9100	O	Praktikandid : Juhan ( Gottfried , Johannes , Konstantin ) Taubel , Oskar Vabamets ( Freiwald ) .
379099	9100	S	Praktikandid : Juhan Taubel , Oskar Vabamets .
379099	9100	Odeprel	root punct parataxis punct parataxis punct conj punct conj punct conj punct conj flat punct parataxis punct punct
379099	9100	Sdeprel	root punct parataxis _ _ _ _ _ _ _ flat punct conj flat _ _ _ punct
			
169491	0	O	SUTLEMA , 2. juuni ( EPLO ) - Riigimetsa Majandamise Keskus ( RMK ) avas täna Raplamaal Sutlemas Mahtra jahikompleksis jahiulukite lihatöötlemise ettevõtte , kus hakatakse lõikama ning pakendama metskitse- , metssea- ja põdraliha .
169491	0	S	SUTLEMA , 2. juuni - Riigimetsa Majandamise Keskus avas täna Raplamaal Sutlemas Mahtra jahikompleksis jahiulukite lihatöötlemise ettevõtte , kus hakatakse lõikama ning pakendama metskitse- , metssea- ja põdraliha .
169491	0	Odeprel	nsubj punct amod conj punct appos punct punct nmod nmod nsubj punct parataxis punct root advmod obl nmod nmod obl nmod nmod obj punct mark acl xcomp cc conj obj punct conj cc conj punct
169491	0	Sdeprel	nmod punct amod appos _ _ _ punct nmod nmod nsubj _ _ _ root advmod obl nmod nmod obl nmod nmod obj punct mark acl xcomp cc conj obj punct conj cc conj punct
			
180068	3844	O	"Ja samas meenutab Teo Maiste , kuidas ta ühe oma esimese rolli ( Ramfis Verdi "" Aidas "" ) puhul lugedes ajaloolisi materjale leidis oma tegelaskujul paralleele toonase parteisüsteemi töötajatega ."
180068	3844	S	Ja samas meenutab Teo Maiste , kuidas ta ühe oma esimese rolli puhul lugedes ajaloolisi materjale leidis oma tegelaskujul paralleele toonase parteisüsteemi töötajatega .
180068	3844	Odeprel	cc advmod root nsubj appos punct mark nsubj det nmod amod obl punct appos flat punct parataxis punct punct case advcl amod obj ccomp nmod obl obj amod nmod obl punct
180068	3844	Sdeprel	cc advmod root nsubj flat punct mark nsubj det nmod amod obl _ _ _ _ _ _ _ case advcl amod obj ccomp nmod obl obj amod nmod obl punct
			
700938	2251	O	Mul ei tulnud ( ei tea ) ykski muu so~nade poolest sobilik laul meelde .
700938	2251	S	Mul ei tulnud ykski muu so ~ nade poolest sobilik laul meelde .
700938	2251	Odeprel	obl aux root punct aux parataxis punct nsubj det nmod nmod obl case amod nsubj obl punct
700938	2251	Sdeprel	obl aux root _ _ _ _ obl det nmod nmod obl case amod nsubj obl punct
			
695798	51898	O	Remarks ( reserved for the use of competent authorities ) - Märkused ( täidab pädev asutus )
695798	51898	S	Remarks - Märkused
695798	51898	Odeprel	nmod punct appos flat flat flat flat flat flat punct punct root punct parataxis amod nsubj punct
695798	51898	Sdeprel	root _ _ _ _ _ _ _ _ _ punct appos _ _ _ _ _
			
519898	2058	O	Joel Chenal ( Prantsusmaa ) 2 .
519898	2058	S	Joel Chenal 2 .
519898	2058	Odeprel	root flat punct appos punct parataxis
519898	2058	Sdeprel	root flat _ _ _ nummod
			
621361	62037	O	W - vähima vastupanu joone pikkus ( m ) ; W võrdub poole seina või samba paksusega .
621361	62037	S	W - vähima vastupanu joone pikkus ; W võrdub poole seina või samba paksusega .
621361	62037	Odeprel	nmod punct amod nmod nmod root punct parataxis punct punct nsubj conj case nmod cc conj obl punct
621361	62037	Sdeprel	nmod punct amod nmod nmod root _ _ _ punct nsubj parataxis case nmod cc conj obl punct
			
640685	19665	O	( 4 ) Hoiu-laenuühistu juhatuse liige ei või sõlmida teiste isikutega lepinguid , mille kohaselt on tema ülesandeks investeerimine , laenu- ja investeerimisprojektide koostamine või vahendamine või muu sarnane tegevus .
640685	19665	S	Hoiu-laenuühistu juhatuse liige ei või sõlmida teiste isikutega lepinguid , mille kohaselt on tema ülesandeks investeerimine , laenu- ja investeerimisprojektide koostamine või vahendamine või muu sarnane tegevus .
640685	19665	Odeprel	punct parataxis punct nmod nmod root aux cc conj amod nmod obj punct obl case cop nmod acl:relcl nsubj:cop punct nmod cc conj conj cc conj cc amod amod conj punct
640685	19665	Sdeprel	_ _ _ nmod nmod root aux cc conj det obl obj punct obl case cop nmod acl:relcl nsubj:cop punct nmod cc conj conj cc conj cc amod amod conj punct
			
92329	2166	O	"( Lk 27 : "" Kohe kui ma sind nägin , tundsin , et mul läheb kõvaks "" ) Kohati leidub rahvalikku huumoritki ."
92329	2166	S	Kohati leidub rahvalikku huumoritki .
