lemma|form|verbifraas|margend|lause|lause_id
neljasilmavestlus|neljasilmavestlusel|korda käisin neljasilmavestlusel|event|""" Paar korda käisin neljasilmavestlusel ."|2090451
seisus|seisusest|oleks astuksin ma seisusest otsekohe välja|other|Kui see niimoodi oleks , astuksin ma meeste seisusest otsekohe välja .|2095742
taaspühitsemine|taaspühitsemisest|Piiskop-emeeritus on käinud olavipäeval aastal alates taaspühitsemisest|event|Piiskop-emeeritus Henrik Svenungsson on käinud olavipäeval Vormsil igal teisel aastal alates kiriku taaspühitsemisest 1990.|2106317
lennundus|lennundusele|Estonian liigub lennundusele suunas aastal|state|Estonian Air liigub üldisele lennundusele vastupidises suunas ka sellel aastal .|2126296
kinnipeetav|kinnipeetavast|kinnipeetavast astus eile esimesena kabinetti Eenmaa|other|Vabanemist taotlevast kümmekonnast Harku vangla kinnipeetavast astus eile esimesena maakohtu esimehe Sirje Õunpuu kabinetti Eenmaa .|2132945
kuru|kurus|lennukid pole kurus käinud|loc_c|Kaitseminister Sergei Ivanov teatas , et Vene lennukid pole Pankisi kurus käinud ning tegi Gruusiale ettepaneku intsidenti koos uurida .|2164423
tagaots|tagaotsas|Ustimenko istus tagaotsas pannud|loc_c|Varssavi lennujaamas üle antud Ustimenko istus Poola lennukompanii 50-kohalise reisilennuki tagaotsas , kus enamik reisijaid teda isegi tähele ei pannud .|2168867
Amsterdam|Amsterdamis|Esmaspäevani istus ta Amsterdamis trellide taga|loc_c|Esmaspäevani istus ta Amsterdamis trellide taga ja on nüüd lõpuks jõudnud tagasi Helsingisse .|2197885
lahkumine|lahkumisest|käis dislussioon lahkumisest|other|Alles hiljuti , kui käis dislussioon OSCE missiooni lahkumisest Eestist , Moskvas nii ei arvatud .|2204217
ühinemisläbirääkimised|Ühinemisläbirääkimistesse|Ühinemisläbirääkimistesse on astunud Eesti|event|Ühinemisläbirääkimistesse on astunud ka Eesti .|2231299
luide|luidetelt|luidetelt liigub liiv hoovuste mõjul veel muulide vahele laevakanalisse sonni|loc_c|Pärnu supelranna luidetelt liigub liiv hoovuste ja tuule mõjul veel muulide vahele laevakanalisse ja muuli äärde jäävasse sonni .|2236851
valimiskomisjon|valimiskomisjonis|ma esmaspäeval end valimiskomisjonis registreerimas käisin|loc_a|""" Kui ma esmaspäeval end valimiskomisjonis registreerimas käisin , siis nad keerutasid seal , kui küsisin , mitu kandidaati veel on , "" lausus Liira ."|2247330
aura|Auras|palju käib Auras lätlasi|loc_c|Tartu Aura veepargi turundusjuhi Marilin Krooni sõnul käib Vene rühmi nädalas 4-5 , sama palju käib Auras ka lätlasi .|2251934
eramu|eramutes|ajal käivad vargad eramutes sees päeva ajal toimetavad|loc_c|""" Viimasel ajal käivad vargad eramutes sees just päise päeva ajal , kui majalised ise kas aias toimetavad või on lihtsalt korraks välja läinud ja ukse lahti jätnud , "" rääkis ta ."|2254387
töökorraldus|töökorralduses|juurutamisega astub linn töökorralduses sammu edasi|dependent|""" Ühtse dokumendihaldussüsteemi juurutamisega astub linn oma sisemises töökorralduses ja kodanikega suhtlemises tubli sammu edasi , "" ütles Sepp ."|2257437
ujula|ujulas|Nad käisid siin ujulas ujumas|loc_c|""" Nad käisid siin ujulas ujumas , treener nägi hiljem pildi pealt ja tundis ära , "" ütles ta ."|2280525
vangistus|vangistuses|laureaat istus protestidest hoolimata vangistuses|state|See oli ajal , mil Nobeli rahupreemia laureaat Sahharov istus vaba maailma protestidest hoolimata vangistuses Gorkis .|2287509
eetika|eetikasse|Ühelt jookseb ta sisse eetikasse|loc_a|"Ühelt poolt jookseb ta sisse eetikasse , "" ütles Vilosius ."|2319121
põhiväärtus|põhiväärtustest|Jutt käib põhiväärtustest|other|Jutt käib põhiväärtustest .|2337797
õhuruum|õhuruumis|Nüüd kõnnivad õhuruumis laevamudelite vahel muuseumikülalised|loc_a|Nüüd kõnnivad näitusesaali avaras õhuruumis rohkete laevamudelite ja teiste mereeksponaatide vahel muuseumikülalised .|2343433
sügissuplem|sügissuplemas|käib hoidmiseks koos setteri veerel sügissuplemas|error|Nüüd turvab nii Eesti Energiat kui ka Estonia teatrit ja käib vormi hoidmiseks koos oma iiri setteri Billiga Pirita veerel sügissuplemas .|2349133
sõjaväeterritoorium|sõjaväeterritooriumil|konvoi käis linnast sõjaväeterritooriumil|loc_c|Esimene konvoi , kuhu kuulusid Iraagist massihävitusrelvi otsivad ÜRO inspektorid , käis linnast 20 km idas asuval sõjaväeterritooriumil .|2392365
konjakireis|konjakireisil|klubi käib korra Prantsusmaal konjakireisil|event|Meie klubi käib vähemalt korra aastas Prantsusmaal konjakireisil ning viimane kord naasime sealt mitme uue suunaga konjakikultuuris .|2423032
uulits|uulitsal|Seega on karud uulitsal käinud|loc_c|Seega on karud Roosikrantsi uulitsal käinud , ja mistarvis siis veel , kui mitte jahipoe ette pommi panemas !|2435177
Bal-neomi|Bal-neomis|Bal-neomis käib traumadega inimest|loc_c|Traumapunktiteenuste eest viiekroonist tasu küsivas Bal-neomis käib traumadega 50-60 inimest päevas .|2440747
majaelanik|majaelanikest|Tänaval peal käib majaelanikest kolmandik|other|Tänaval ja linna peal käib majaelanikest kolmandik , ülejäänud on ainult toas või hingavad õueõhku rõdult .|2450709
orienteerumisvõistlus|orienteerumisvõistlusel|ilmselt käin üle aja taas orienteerumisvõistlusel|event|Suvel sisustan aega metsas hulkumisega ja ilmselt käin üle pika aja taas mõnel orienteerumisvõistlusel .|2465706
kultuurifestival|Kultuurifestivalil|Kultuurifestivalil Kopenhaagenis astuvad üles muusikud|event|Kultuurifestivalil Kopenhaagenis astuvad üles 11 riigi muusikud , näitlejad , tantsijad .|2466893
diivaninurk|diivaninurgal|Helene istub diivaninurgal nii istuvad|loc_c|Helene istub diivaninurgal täpselt nii , nagu istuvad vanadel fotodel eestiaegsed perenaised .|2473880
taksondus|taksonduses|Alates päevast tekkisid käib taksonduses kammajaa|loc_a|Alates päevast , kui Tallinna ainsa taksoettevõtte - taksopargi - Volgade kõrvale tekkisid esimesed kooperatiivi- ja litsentsitaksod , käib taksonduses üks kammajaa .|2502392
tööpataljon|Tööpataljonis|Tööpataljonis käisime üle metsatöödel|loc_a|Tööpataljonis käisime üle Eesti metsatöödel ja hiljem ka kolhoosides tööl .|2525783
Petseri|Petseris|kutsel Petseris käisin|loc_c|""" Jaanuari alguses , kui sealse setu seltsi kutsel Petseris käisin , jättis remonditud koolisaal väga hea mulje , "" kinnitas Nurk ."|2548089
proovilava|proovilaval|Vahetult enne Gerlit proovilaval käinud|loc_c|Vahetult enne Gerlit proovilaval käinud Lea Liitmaa nägi aga unes , et just Gerli võidab .|2553959
euroaju|euroajudes|euroajudes liigub mõte|loc_c|Mõnedes euroajudes liigub juba mõte üle-euroopalise ajalehe loomise suunas .|2566893
orhideevorm|orhideevormidele|Näiteks Floridas käib orhideevormidele jaht|owner|Näiteks Floridas käib metsikutele orhideevormidele tõeline jaht - kollektsionääride seas on need kõrges hinnas .|2570540
foon|foonil|Reklaamplakatil istub Gorbatšov tagaistmel foonil|manner|Reklaamplakatil istub Gorbatšov auto tagaistmel Berliini müüri foonil .|2598046
rentsel|rentslisse|astu rentslisse|loc_c|Vihmaga on hoopis lihtsam liikuda , pane ainult kalossid jalga , astu rentslisse ja lase voolul end kanda .|2601065
humanitaarala|Humanitaaraladel|Humanitaaraladel on tegelastest lahkunud Berk|loc_a|Humanitaaraladel on tuntud tegelastest lahkunud ka Berk Vaher .|2627818
uni|unes|sõnul kõnnib vend sageli unes|state|Õe sõnul kõnnib vend sageli unes .|2628470
tarbekunstigalerii|tarbekunstigaleriis|jalas käisid nad tarbekunstigaleriis jäädes|loc_c|Lühikeses jalas käisid nad tarbekunstigaleriis , jäädes sinna paarikümneks minutiks .|2645260
hävitamine|hävitamisel|likvideerimine käib hävitamisel stsenaariumi järgi|reason|"Tema kompanii likvideerimine käib Jukose hävitamisel "" läbiharjutatud "" stsenaariumi järgi ."|2647370
sotsiaalkeskus|sotsiaalkeskuses|sotsiaalkeskuses tegemas käivad|loc_c|Tallinna Haabersti sotsiaalkeskuses viiendat aastat käsitööd tegemas käivad pensionärid avastasid Postimehe vahel ilmunud parteinimekirju uurides jahmatusega , et on Rahvaliidu liikmed .|2660218
hommikukuub|hommikukuues|kes istub hommikukuues kiiktoolis|state|Jazz unistab ajast , kui ta on vanem mees , kes istub siidist hommikukuues kiiktoolis ning suitsetab piipu .|2675484
headus|headuses|Polkovniku astuvad Madis headuses|state|"Kuressaare linnateatri rambivalgust näinud "" Polkovniku leses "" astuvad lavale telestaaridena tuntud Madis Milling ja Henrik Normann , nende kuulsa sarja "" Vanade ja kobedate "" headuses ."|2703614
energiafirma|energiafirmast|Jutt käib energiafirmast|other|Jutt käib Soome elektriturgu valitsevast energiafirmast Fortum .|2711646
1960.|1960-ndatel|kirjamees astus kirjandusellu 1960-ndatel oli|time|Viljakas ja mitmekülgne kirjamees astus kirjandusellu juba 1960-ndatel , kuigi tema luule- ja proosadebüüt oli alles järgmisel kümnendil .|2758759
Kajakas|Kajakast|Jutt käib Kajakast aastast|other|"Jutt käib "" Kajakast "" , "" Võluflöödist "" , ( kahtlemata uuele kultuuriministrile pühendatud ) "" Jänese aastast "" ning sooloprojektidest "" Faust "" ja "" Hamletid "" ."|2776427
äriringkond|äriringkondades|kes istuvad äriringkondades|loc_a|Organisatsiooni avalduses räägitakse , et venelased vihkavad ennekõike fašiste , kes istuvad äriringkondades , parlamendis ja valitsuses , aga mitte tavalisi Balti riikide elanikke .|2833469
La|Las|Näiteks käib Las Vegases esinemas Elton|loc_c|"Näiteks käib Las Vegases esinemas Elton John , "" rääkis Karu ."|2843537
MM-etapp|MM-etapil|MM-etapil poodiumile astunud|event|Kolmel MM-etapil poodiumile astunud britt Lewis Hamilton on tuntud hulljulge sõitjana .|2849951
prostitutsiooniprotsess|prostitutsiooniprotsessis|pidajad astuvad nädala pärast prostitutsiooniprotsessis süüdistatavatena kohtu ette|event|15 aastat Tallinna kuulsaima bordelli mainet kandnud Lily striptiisibaari pidajad astuvad nädala pärast Eesti suurimas prostitutsiooniprotsessis süüdistatavatena kohtu ette .|2850446
sunniit|sunniidist|mis valitsusajal astus vastu sunniidist režiimile|error|Nouri al-Maliki on šiiit ja kuulus liikumisse , mis Saddami valitsusajal astus vastu sunniidist diktaatori režiimile , vahendab BBC .|2868126
digitaalplatvorm|digitaalplatvormile|nähtav siis alates eilsest liikus kanal digitaalplatvormile|loc_a|Kui seni oli ETV koos teiste eesti kanalitega ZUUMi klientidele nähtav analoogedastusena , siis alates eilsest liikus kanal ka digitaalplatvormile .|2868797
toomemägi|Toomemäele|mis koos rongkäigulistega Toomemäele liigub|loc_c|Festival saab hoo sisse 25. aprillil kell 21 Raekoja platsil , kus meenutuste , heade soovide ja muusika saatel süüdatakse kevadpäevade tuli , mis koos rongkäigulistega Toomemäele liigub .|2876995
Show|Show'l|Show'l astub ülesse poeg|event|Show'l astub ülesse ka räpistaari poeg Kurtis Blow Junior ning lisaks maailmakuulsad breaktantsijad Lil Lep ( NYC Breakers ) , Iron Monkey ( Rock Force Crew/ LA ) ning Eesti mainet maailmas väga kõrgel hoidnud- Submission Crew .|2881047
list|listides|debatt on listides käinud|loc_a|""" See debatt on Reformi listides käinud ja ma ei tea , kust Veskimägi nüüd sellega tuli , "" oli ta IRL-i kiirustades tehtud avapaugu peale pisut pahane ."|2894951
Mäo|Mäolt|kes alates Mäolt Sõmerpalu poole astus abistada|loc_c|Viimastel päevadel üle Eesti kuulsaks saanud Teet Põder ( 37 ) , kes alates laupäevast Mäolt Sõmerpalu poole astus , et seal elavat isa kartulivõtul abistada , jõudis eile südapäeva paiku sihtkohta .|2914970
rongivagun|rongivagunis|plahvatus käis kell hommikul rongivagunis|loc_c|Esimene plahvatus käis kell pool kaheksa hommikul tühjas rongivagunis , teine aga rahvast täis rongis , kus oligi kõige rohkem ohvreid .|2935416
talumees|talumeestest|mis liiguvad küll talumeestest kiiremini|other|Endiselt on Poola ühes ja samas maanteeruumis kolm erinevat maailma : talumees , kelle jaoks on maantee osa tema põllust ning ta astub seal üles kas oma veiste , traktori , hobuveoki või muu üllatusliku riistapuuga ; väiksed fiatid , mis liiguvad küll talumeestest kiiremini ja järgivad liikluseeskirju , kuid siiski takistavad meie mõistes normaalset sõitmist ; liiklus , mida meie liikluseks peame .|2948429
hasart|hasardist|paljud käivad sisseastumiskatsetel lihtsalt hasardist|other|""" Tulevikus politseiniku või tolliametniku elukutset ihkav tütarlaps lisas , et paljud käivad sisseastumiskatsetel lihtsalt hasardist ."|2958172
arvutimess|arvutimessil|Peeter käis Saksamaal arvutimessil|event|Peeter Marvet käis Saksamaal maailma suurimal arvutimessil CeBIT ning räägib nüüd mõnest põnevast imevigurist , mida ta seal nägi .|2969584
sessioon|sessioonil|sessioonil istus seltskond arutama|event|Eile lõppenud Davosi majandusfoorumi viimase päeva esimesel sessioonil istus lugupeetud seltskond lauda arutama kultuuride heterogeensust ja konflikte .|3020436
traal|traalidel|Puhkuse ajal käis Mart kuulmisega traalidel|loc_c|Puhkuse ajal käis Mart oma absoluutse kuulmisega traalidel , akustilistel aparaatidel abiks kalaparvi otsimas .|3046804
muusikamaastik|muusikamaastikust|Jutt käib muusikamaastikust|other|Jutt käib muusikamaastikust , mis on olnud ja jääb ilmselt alati marginaalseks , lõpuni kättesaamatuks selle suure ja kõikjal kohaloleva kommertsi ja meinstriimi suhtes .|3074835
väikeplokk|väikeplokkidest|Külas käis väikeplokkidest ehitamine saama|other|Külas käis vilgas väikeplokkidest majade ehitamine , sest iga naisevõttu plaaniv mees peab enne abiellumist eluaseme valmis saama .|3084667
Taanimaa|Taanimaalt|Taanimaalt noruspäi lahkuvad|loc_c|"Kunagi jooksis Taani telekanalitel Carlsbergi õllereklaam , milles Taanimaalt noruspäi lahkuvad Saksa sõdurid arutavad : "" Ah , ega siin Taanis midagi head olnudki ."|3123460
reaktor|reaktorist|Soojusenergia lahkub reaktorist hoopis heeliumi abil|loc_c|Soojusenergia , mida harilikult kannab minema vesi , lahkub reaktorist hoopis inertgaasi heeliumi abil .|3133883
Kazimirez|Kazimirezis|ta pole käinud Kazimirezis|loc_c|Ilmselt ei õnnestu ühelgi külalisel sellest Poola prints Kraki järgi nime saanud linnast pääseda enne , kui ta pole käinud Kazimirezis , mis on Waweli mäe kõrval üks linna suuremaid turistipeibutusi .|3168075
olümpia-mäng|olümpia-mängudel|olümpia-mängudel käis kultuuriminister|event|Sidney olümpia-mängudel käis kultuuriminister Signe Kivi .|3182877
seganeljane|seganeljases|seganeljases istusid veel Silver|loc_a|Mullusel MM-il sõitsid selles paadiklassis hoopis Igor Kuzmin ja Andrei Jämsa , Pärnu-Narva seganeljases istusid veel Silver Sonntak ja Andrei Šilin .|3204280
õhtuhämar|õhtuhämaras|kuuseäri ees käis eile õhtuhämaras riietumine|time|Stockmanni kaubamaja juures asuva Jõuluvana Johannese kuuseäri ees käis eile õhtuhämaras kibekiire riietumine .|3204762
eksamikeskus|eksamikeskuses|Eile käisid eksamikeskuses küsimas abituriendid|loc_c|Eile käisid eksamikeskuses nõu küsimas ka Juhkentali gümnaasiumi abituriendid ja nende lapsevanemad .|3225693
huvialaring|huvialaringides|Erinevalt käib ta sagedamini huvialaringides|loc_a|"Erinevalt "" üksikust bussijuhist "" ja "" aleviku müüjast "" käib ta sagedamini huvialaringides , näiteks pere- ja naisteühendustes , suhtleb rohkem inimestega ja on ühiskondlikult aktiivsem , kuid tema aktiivsus on nn klubilist laadi ."|3239061
türklane|türklastest|Tihtipeale astusid nad türklastest mööda|other|"Tihtipeale astusid nad türklastest mööda , "" kirjeldas Enden ."|3249470
Martha|Martha's|Martha's on Russo käinud perega aastaid|loc_c|Martha's Vineyardis , mis on Milesile omamoodi südame kodu - koht , kus ta peaks tegelikult elama , kui saaks - , on Russo käinud perega aastaid ja see püsib neile maagilise paigana , sest neil on seal omavahel nii hea olla .|3259912
massaažikool|massaažikoolis|kes käivad massaažikoolis lihtsalt huvist|loc_a|Kliendid on nii massaažiteenust pakkuvad firmad kui ka eraisikud , kes käivad massaažikoolis lihtsalt oma huvist .|3281083
videvik|Videvikus|Videvikus liiguvad loomad kanapimedus|time|Videvikus liiguvad loomad ja inimestel on kanapimedus ehk nõrgenenud nägemine pimedas või hämaras .|3325590
töömaht|töömahust|komisjonid ei käi töömahust üle|other|Linnaosade juures tegutsevad alaealiste komisjonid ei käi töömahust üle , probleemi uurinud töörühm soovitab juurde palgata sekretärid ja erinoorsootöötajad ning moodustada linnavalitsuse juurde komisjonide tööd korraldava alalise töörühma .|3331061
europarlament|europarlamendis|õnneks ei käi poliitika europarlamendis riigiti|loc_a|Eesti-suuruste õnneks ei käi poliitika europarlamendis riigiti , vaid fraktsiooniti .|3333735
suurendamine|suurendamisest|jutt käib suurendamisest|other|Anton tunnistas , et tegu on tundliku teemaga , sest jutt käib riigi valitsemiskulude suurendamisest .|3336383
välibassein|välibasseinis|Noormehed käisid välibasseinis|loc_c|Noormehed käisid välibasseinis ja lasid liugteelt liugu , kuid see kõik ei köitnud neid piisavalt ning nii otsustatigi proovida Eestis seni küllaltki kesist kandepinda leidnud spordiala kujundujumist .|3375644
Tammsaare-lavastus|Tammsaare-lavastuses|kes Tammsaare-lavastuses astub üles Indrekuna|event|"Eile õhtul , pärast Priit Pedajase "" Mauruse kooli "" esietendust Eesti Draamateatris kuulutati tänavuse laureaadina välja Panso-kooli neljanda kursuse tudeng Kaido Veermäe , kes seekordses Tammsaare-lavastuses astub üles Indrekuna ."|3405462
müügitehing|müügitehingul|kelm käis ise müügitehingul võtmas kannatanud|event|24. septembril vahistatud Bermani süü tõendamine oli kerge , sest kelm käis ise müügitehingul raha vastu võtmas , mistõttu kannatanud tundsid ta ära .|3413771
kõrvalejäämine|kõrvalejäämisele|hinnanguil käis vaatamata kõrvalejäämisele hääletamas protsendi erandina|other|Belgradi raadio hinnanguil käis vaatamata kahe juhtiva opositsioonipartei kõrvalejäämisele hääletamas üle 60 protsendi valijaskonnast , erandina Kosovo , kus enamuses olevad albaanlased valimistel ei osalenud .|3420792
Reaalkool|Reaalkoolist|Reaalkoolist pole jookul lahkunud õpetaja|loc_a|Reaalkoolist pole viimase õppeaasta jookul lahkunud ükski õpetaja .|3422332
naisteosakond|naisteosakonnas|käis naisteosakonnas|loc_c|Kuid Tuppits möönis , et käis jalatsikaupluse naisteosakonnas ja seal müüdud saapaid pole võimalik meie talves kasutada .|3430512
golfiraja|golfirajal|Tulles käime golfirajal|loc_c|Tulles viis päeva enne maavõistlusi kokku , käime golfirajal ja ujumas , üritame luua vajalikku ühtekuuluvustunnet .|3433331
Schäuble|Schäublel|Käed liiguvad Schäublel aga tänu imele|owner|""" Käed liiguvad Schäublel aga tänu imele , sest kui kuul oleks tabanud tema selga kaks millimeetrit kõrgemal , oleks nüüd halvatud ka käed ."|3436940
laadaplats|Laadaplatsil|Laadaplatsil käib elu|loc_c|Laadaplatsil käib vilgas elu ja kuulda on igasuguseid keeli .|3438008
seitsmetund|seitsmetunnist|kes astus pärast seitsmetunnist mängu meie juurde|time|""" Muusiku õudusunenägu oli kolhoosiesimees , kes astus pärast seitsmetunnist mängu meie juurde ja ütles , et mängige veel , mille eest me teile maksame !"|3444370
korraldusmeeskond|korraldusmeeskonnast|Tänavu on Rock korraldusmeeskonnast lahkunud mehed|loc_a|Tänavu on Rock Summeri korraldusmeeskonnast lahkunud mitu aastat festivali organiseerinud mehed , kes vastutasid programmi , tehnika ja tollidokumentide korraldamise ning muu asjaajamise eest .|3455409
seenekasvatusprojekt|seenekasvatusprojektile|käisid majandusministri juures seenekasvatusprojektile palumas|owner|Võhma Lihakombinaadi tervikvarale ostusoovi esitanud kontserni Trade Energy Best ( TEB ) esindajad tegid pankrotihaldurile taotluse ostu-müügilepingu edasilükkamiseks ja käisid majandusministri juures oma seenekasvatusprojektile toetust palumas .|3465113
kips|kipsis|kellest 10 lahkusid kliinikumist kipsis jalaga|error|Tartus oli kolmapäeval liivatamata kõnniteede ohvreid 30 , kellest 10 lahkusid ülikooli kliinikumist kipsis jalaga .|3468572
infosajand|infosajandisse|infosajandisse astuvat|time|Uue Meedia teine oluline ülesanne on hoida infosajandisse astuvat inimest kursis arvuti- ja mobiilimaailma uusimate suundumuste ning samuti seal toimuvaga .|3483713
hakatus|hakatusel|alatasa käime talle hakatusel meenutamas|manner|Polegi , muide , eales kutsunud , alatasa käime talle omal hakatusel aastate kulgu meenutamas .|3485620
lasterong|lasterongis|juhataja istuvad lasterongis nimega|loc_c|Linnaplaneerimisameti juhataja Hain Karu ja linnasekretär Toomas Sepp istuvad sinivalges lasterongis nimega Toomas .|3500618
pakkuja|pakkujast|kes on liikunud sammhaaval pakkujast|state|Tegu on tehnoloogiamaailma uue superriigiga , kes on liikunud sammhaaval odava allhanke pakkujast kohalikel oskustel ja teadmistel baseeruva maailmamajanduse juhtriigi poole .|3538303
ettevalmistusraha|ettevalmistusrahast|jutt käib ettevalmistusrahast|other|Küsimus ei ole ju treki ehitamises ega purjekate ostmises , jutt käib ettevalmistusrahast .|3574800
tervisehäire|tervisehäirele|protsenti oli vaatamata tervisehäirele käinud tööl|other|Teisest küljest vaadatuna esines ka vastupidine käitumine - tervelt 28 protsenti vastanutest oli vaatamata tervisehäirele või haigusele käinud tööl .|3608094
Togo|Togost|president lahkus eile Togost|loc_c|Kukutatud president Mobutu Sese Seko lahkus eile Togost ning suundus Marokosse .|3647282
varasügis|varasügisel|konkurent käis varasügisel välja Ristküsitluse|time|Kui TV3 konkurent Kanal 2 käis varasügisel välja uue igapäevaõhtuse Ristküsitluse , ütles TV3 programmidirektor , et viktoriinide turg oli juba enne seda ammu täis .|3669837
net|netis|netis tüübid käivadki|error|Artiklitest jääb mulje , et netis ainult kahtlased tüübid ja abielurikkujad käivadki .|3684619
töörühm|töörühmas|esindajad istusid tõepoolest töörühmas|loc_a|Ameeriklastel on omamoodi õigus pahane olla , sest riigi esindajad istusid tõepoolest töörühmas ja kirjutasid alla .|3690852
politseikolledž|Politseikolledžisse|Politseikolledžisse astunud|loc_a|Politseikolledžisse astunud noored asuvad õppima uute kompetentsipõhiste õppekavade järgi , kus kolmekuulisele loengute perioodile järgneb samapikk praktikaaeg .|3709812
klubides-pubides-kontsert|klubides-pubides-kontsertidel|kes klubides-pubides-kontsertidel käivad|event|""" Noortel , kes klubides-pubides-kontsertidel käivad , võib järgmisel päeval tekkida ajutisi kuulmisraskusi , peas sumiseda-piniseda , isegi tasakaaluhäireid tekkida , kuid need on mööduvad nähtused , "" selgitas Merilind ."|3713348
erarõivas|erarõivastes|Koalitsiooniväed liiguvad aladel tihti erarõivastes kasutades|state|Koalitsiooniväed liiguvad sealsetel aladel tihti erarõivastes , kasutades sõidukeid , mis sarnanevad abiorganisatsioonide omadega .|3729764
pdagoogikaülikool|pdagoogikaülikoolis|Olen käinud pdagoogikaülikoolis otsimas|error|""" Olen käinud pdagoogikaülikoolis ja Tartu üikoolis tudengeid otsimas , aga erilist imevitsa nende meelitamiseks pole ."|3730989
projekteerimine|projekteerimisel|näiteks käivad tööd projekteerimisel|event|Riigikontrolör avaldas rahulolu ja lootust , et mitmed käimasolevad tööd saavad alanud aastal uue hoo - näiteks käivad tööd riigi keskse dokumendihoidla projekteerimisel ja dokumendihaldussüsteemide liidestamiseks sellega .|3733351
kaklus|kakluses|varem istus ta aastat kinni tapmise eest kakluses|event|Veel varem istus ta kuus aastat kinni teise mehe tapmise eest kakluses .|3751782
silt|siltidele|keeleinspektorid käiksid linnaosas siltidele näitamas|error|"Rõivas tõdes , et ta siiski ei oota , et keeleinspektorid käiksid linnaosas valedele siltidele näpuga näitamas : "" Aga mind solvas , kui keeleinspektsioon väitis , et linnaosavalitsus suhtub küsimusse leigelt ."|3764499
rannahoone|rannahoones|lapsed käisid juba neljapäeval koos rannahoones peol|loc_c|Pirital elavad 1. klassi minevad lapsed käisid juba möödunud neljapäeval koos vanematega rannahoones koolialguse peol .|3797735
Floro|Floros|Tiia jooksis Norramaal Floros tõkkeid rekordiga|loc_c|Tiia Eeskivi jooksis Norramaal Floros 400 m tõkkeid Eesti rekordiga 56,52 ning võitis esikoha .|3840396
majaosa|majaosas|majaosas käib ehitus|loc_c|Möödunud detsembrist töötab Maghira Fond keset tondilossi ning ühes majaosas käib hoogne ehitus .|3855297
lina|linal|kes astub korda üles linal|error|Kuigi tegu võiks olla üpris stereotüüpse rolliga , täidab oma karakteri eluga Larsi osa mängiv Nils Jørgen Kaalstad , kes astub esimest korda üles suurel linal .|3855999
lapsepõlvemaailm|lapsepõlvemaailmas|Priit käis ekskursioonil lapsepõlvemaailmas|loc_a|Priit Hõbemägi käis ekskursioonil Umberto Eco lapsepõlvemaailmas .|3863063
kaitsekonfiguratsioon|kaitsekonfiguratsioonist|armee käiks pingutuseta üle kaitsekonfiguratsioonist|loc_a|Vaenlase armee käiks pingutuseta üle igast mõeldavast Eesti kaitsekonfiguratsioonist .|3872019
lauatoake|lauatoakeses|lauatoakeses istume|loc_c|Uus maailm on meie jaoks ka kunagisse vene laevastiku muuseumi ehitatud jaapani restoran , kus privaatses lauatoakeses istume ning kaugusest kostvat tasast igatsevat muusikat kuulame .|3919614
üksikrajatis|üksikrajatistest|toetuste puhul ei käi jutt üksikrajatistest|other|NATO toetuste puhul ei käi jutt üksikrajatistest , pigem on tegu poliitilise küsimusega .|3933321
Bain|Baini|praegugi käib USA-s Baini rajaja vahel vaidlus|error|Näiteks praegugi käib USA-s Baini ja Galvexi teise rajaja Barry Bernsteni vahel vaidlus , kellele hetkel kuulub 10-15 protsenti Galvexist .|3933930
VIP-sektor|VIP-sektoris|Kõndisin staadonil ringi VIP-sektoris|loc_c|Kõndisin uhkel staadonil ringi , nii VIP-sektoris kui ka kõikvõimalikes koridorides , ning püüdsin mõista , kuhu oleme välja jõudnud ...|3950991
põhikoosseis|põhikoosseisust|KuPS-ist lahkus pool põhikoosseisust|other|Soome paremaid hinnatakse Euroopa tugevates sarjades , eelmisel aastal meistriks tulnud KuPS-ist lahkus pool põhikoosseisust .|3963269
IT-äri|IT-ärisse|aastat tagasi astus Siff jõuliselt IT-ärisse|loc_a|Kuus aastat tagasi astus Siff jõuliselt IT-ärisse .|3980137
printsess|Printsessi|Printsessi käib Tallinnas leinamas kooliõpilasi|error|Printsessi käib Tallinnas leinamas palju kooliõpilasi , tudengeid , Riigikogu liikmeid - inimesi tuleb kõikjalt Eestist .|3984643
kroonimispidustus|kroonimispidustustel|Venelased käisid seal kroonimispidustustel|event|Venelased käisid seal kroonimispidustustel ja tagasiteel peatusid Tallinnas .|3989471
kanep|Kanepile|Vähem istub Kanepile võrdlemine ameeriklanna|owner|""" Vähem istub Kanepile tema võrdlemine teise eksesireketi ameeriklanna Lindsay Davenportiga ."|4029694
pst|pst-l|Istume Pirital pst-l džiipi|loc_c|Istume Pirital Regati pst-l džiipi , võtame uudse vidina ette ja palume end juhatada Punga ja Kase tänava ristile .|4032312
medalivõit|medalivõidust|jutt käib suusakuninganna medalivõidust|other|"Kui Kiku külas elav Vallo Koppel nägi oma mobiilis plinkivat teadet "" Kiku kuld "" , tundis ta korraks soovi labidas koduões mulda lüüa , siis aga taipas , et jutt käib suusakuninganna Šmiguni medalivõidust ."|4033022
veehaare|veehaardesse|mis aga liigub veehaardesse|state|Samuti reostas märgatavalt vett Loksu sigala , kolmapäeval oli Salveesia hinnangul olukord sigala taga troostitu : vedeles mitmeaastane sõnnik , sigade korjused , luukered ja muu rämps ; sigalal pole siiani rajatud nõuetekohast läga ja sõnniku hoidlat ning ülejäägid satuvad põhjavette , mis aga liigub Tapa veega varustavasse veehaardesse .|4039516
