COLLECTION	SPANSTART	TYPE	TEXT
			
11208	2410	O	See joonis jäi pakile rohkem kui pooleks sajandiks , kuigi Nõukogude Liit Baltimaad vahepeal okupeeris .
11208	2410	S	See joonis jäi pakile , Nõukogude Liit Baltimaad okupeeris .
			
485158	1514	O	Valitsus kavatseb Narva elektrijaamaade erastamiseks sätestada järgmised tingimused : riigi osalus vähemalt 51% , turu garanteerimine mitte üle 75% ja mitte rohkem kui 6-8 aastat , omakapitali tootlus mitte rohkem kui 14% , elektrijaamadest müüdava elektri hind ei tohi lähtuda ainult tootja kuludest , investeerimiskohustused peavad olema täpselt sätestatud .
485158	1514	S	Valitsus kavatseb Narva elektrijaamaade erastamiseks sätestada järgmised tingimused : riigi osalus 51% , turu garanteerimine 75% ja rohkem kui 6 - 8 aastat , omakapitali tootlus rohkem kui 14% , elektrijaamadest müüdava elektri hind ei tohi lähtuda tootja kuludest , investeerimiskohustused peavad olema sätestatud .
			
650364	2970	O	Point on selles , et alles 90 aastatel oli New Yorgis juute rohkem kui Iisraelis ja kui rahvus juudid väga tahaksid ( praegu tahavad ainult Venemaalt tulnud juudid ) siis oma püha nutumüüri äärest võiksid Nevada kõrbesse kolida ja seal lilleaia teha ( pappi peaks jätkuma ) .
650364	2970	S	Point on selles , et 90 aastatel oli New Yorgis juute rohkem kui Iisraelis ja kui rahvus juudid tahaksid ( tahavad Venemaalt tulnud juudid ) oma püha nutumüüri äärest võiksid Nevada kõrbesse kolida ja lilleaia teha ( pappi peaks jätkuma ) .
			
320945	655	O	""" Siin on ikka rohkem kui üks töömees ja mitu firmat töötanud mitu päeva , et probleemi likvideerida , "" ütles Remmelkoor ."
320945	655	S	""" on rohkem kui üks töömees ja mitu firmat töötanud mitu päeva , et probleemi likvideerida , "" ütles Remmelkoor ."
			
276430	1312	O	Ja kuigi nad täpselt ei tea , et Oidipus silmad peast torkab ja Kolonosesse pagendusse läheb , teavad nad ikka rohkem kui suhteliselt enesekindel Oidipus , kes ei aima halba .
276430	1312	S	Ja nad ei tea , et Oidipus silmad peast torkab ja Kolonosesse pagendusse läheb , teavad nad kui enesekindel Oidipus , kes ei aima halba .
			
502282	637	O	""" Samas pole meie eesmärgiks hispaania tantsu otse üle kanda , kasutame seda rohkem kui stiilinäidet , "" selgitab Mari ."
502282	637	S	""" pole meie eesmärgiks hispaania tantsu üle kanda , kasutame seda , "" selgitab Mari ."
			
381752	2735	O	Seda edetabelit juhib hoopis Kauko Röyhkä “ Kaks päikest ” , kusjuures seda on müüdud kaks korda rohkem kui Rane romaani - 337 ja 152 eksemplari .
381752	2735	S	Seda edetabelit juhib Kauko Röyhkä “ Kaks päikest ” , kusjuures seda on müüdud kaks korda rohkem kui Rane romaani - 337 ja 152 eksemplari .
			
477602	6698	O	Olen autoasjanduses täielik käpard , nii et ma lihtsalt ei saa endale lubada autot , mis nõuab rohkem kui aegajatist bensiini sissekallamist .
477602	6698	S	Olen autoasjanduses täielik käpard , ma ei saa endale lubada autot , mis nõuab aegajatist bensiini sissekallamist .
			
699577	80	O	Nüüd ollakse saagiga üsna rahul - paljud pered on kogunud mett rohkem kui mullu .
699577	80	S	Ollakse saagiga rahul - paljud pered on kogunud mett rohkem kui mullu .
			
409410	6080	O	Nõuanded põhinevad rohkem kui sajal erineval rahustamistaktikal , mis on ammutanud ainest nii iidsest rahvakogemusest kui tänapäevaste vaimuteaduste saavutustest .
409410	6080	S	Nõuanded põhinevad sajal erineval rahustamistaktikal , mis on ammutanud ainest nii iidsest rahvakogemusest kui tänapäevaste vaimuteaduste saavutustest .
			
228188	764	O	Kokku oleme sel aastal sõlminud ehituslepinguid rohkem kui 420 miljoni krooni eest ning enne aasta lõppu loodab ettevõte sõlmida veel ühe 120 miljoni krooni suuruse tehingu .
228188	764	S	Oleme rohkem kui 420 miljoni krooni eest ning enne aasta lõppu loodab ettevõte sõlmida ühe 120 miljoni krooni suuruse tehingu
			
660039	26226	O	Kohalikul töötajal , kelle leping on sõlmitud vähem kui üheks aastaks , on samuti õigus hääletada , kui ta on töötanud vähemalt kuus kuud .
660039	26226	S	Kohalikul töötajal , kelle leping on sõlmitud , on õigus hääletada , kui ta on töötanud kuus kuud .
			
591221	1532	O	See tähendab , et iga soovitud täheni jõudmiseks pidi Cook tegema kuni kaks klahvivajutust rohkem kui tema rivaalid .
591221	1532	S	See tähendab , et iga soovitud täheni jõudmiseks pidi Cook tegema kuni kaks klahvivajutust .
			
165717	623	O	Deklareerimine lõpeb vähem kui kuu aja pärast , kuid dokumendid on välja võtnud kõigest kolmandik arvatavatest maakasutajatest-omanikest .
165717	623	S	Deklareerimine lõpeb kui kuu aja pärast , kuid dokumendid on välja võtnud kolmandik arvatavatest maakasutajatest-omanikest .
			
514693	1100	O	Küsitleti rohkem kui 1600 inimest 30 eri piirkonnas .
514693	1100	S	Küsitleti 1600 inimest 30 eri piirkonnas .
			
626666	385	O	Ühiskond halvustab pakse naisi rohkem kui niisama tüsedaid mehi , ent ka nende tervis kannatab lisakilode all rohkem kui meestel , seletas taanlanna 10. rahvusvahelisel tüsenemiskonverentsil .
626666	385	S	Ühiskond halvustab pakse naisi kui tüsedaid mehi , ent nende tervis kannatab lisakilode all , seletas taanlanna 10. rahvusvahelisel tüsenemiskonverentsil .
			
403121	33410	O	BGB üldosa ei kasuta erinevalt Eesti TsÜS-st juriidilise isiku mõistet rohkem kui üksnes BGB esimese raamatu teise osa pealkirjas ( Juristische Personen ) .
403121	33410	S	BGB üldosa ei kasuta juriidilise isiku mõistet kui BGB esimese raamatu teise osa pealkirjas ( Juristische Personen ) .
			
509223	3055	O	Pommirahe on tabanud rohkem kui 40 küla Vene-Tšetšeenia piiril .
509223	3055	S	Pommirahe on tabanud 40 küla Vene-Tšetšeenia piiril .
			
34419	409	O	Kui ta on tagasikutsumise ajaks töötanud vähem kui 12 kalendrikuud , siis on hüvitis 4 kuu töötasu , kui aga 12 kalendrikuud või rohkem , siis 6 kuu töötasu .
34419	409	S	Kui ta on tagasikutsumise ajaks töötanud , on hüvitis 4 kuu töötasu , kui aga 12 kalendrikuud või rohkem , 6 kuu töötasu .
			
88259	332	O	""" Interpoli Eesti büroo juhtivinspektor Kristiina Kask : "" Üldiselt läheb kooliealisi välisriikidesse kellegi teadmata rändama üpris vähe , aastas tuleb vähem kui viis säärast juhtumi ."
88259	332	S	""" Interpoli Eesti büroo juhtivinspektor Kristiina Kask : "" läheb kooliealisi välisriikidesse kellegi teadmata rändama , aastas tuleb ."
			
425247	6620	O	Ning nii palju , kui ma mäletan , oli ja on “ Cobra ... ” palju rohkem kui Stereolabi-esindaja kirjelduse  “ Morricone meets Faust meets Roland Kirk meets Brian Wilson meets Archie Shepp ”  liidetavate summa .
425247	6620	S	Ja on “ Cobra ... ” rohkem kui Stereolabi-esindaja kirjelduse “ Morricone meets Faust meets Roland Kirk meets Brian Wilson meets Archie Shepp ” liidetavate summa .
			
661887	434	O	Ka Levadiale ütlesime oluliselt väiksema summa , » lausus Pohlak , kuid lisas : « Aga samas küsime Levadialt rohkem kui Narva Transilt , sest Levadia eelarvevõimalused on suuremad .
661887	434	S	Levadiale ütlesime väiksema summa , » lausus Pohlak , kuid lisas : « Aga küsime Levadialt Narva Transilt , sest Levadia eelarvevõimalused on suuremad .
			
277026	0	O	Leedu taasalustas täna rohkem kui kolmekuulise vahepausi järel Venemaa vahendusel elektrienergia tarneid Valgevenele .
277026	0	S	Leedu taasalustas kolmekuulise vahepausi järel Venemaa vahendusel elektrienergia tarneid Valgevenele .
			
1908	5072	O	Leiba on veel vähem kui enne revolutsiooni ja rongid käivad üha harvemini .
1908	5072	S	Leiba on vähem kui enne revolutsiooni ja rongid käivad .
			
30247	148	O	Keskpank hoiatas valitsust viimases kvartaliraportis , et tarbijahinnad võivad tänavu tõusta rohkem kui varem prognoositud 2,8 protsenti .
30247	148	S	Keskpank hoiatas valitsust viimases kvartaliraportis , et tarbijahinnad võivad tõusta .
			
318314	5	O	Parlament katkestas eile õhtul elektrijaamade erastamise arutamiseks kokku kutsutud erakorralise istungi , kuna kaks tundi pärast selle algust oli kohal vähem kui pool riigikogu koosseisust .
318314	5	S	Parlament katkestas õhtul elektrijaamade erastamise arutamiseks kokku kutsutud erakorralise istungi , kuna kaks tundi pärast selle algust oli kohal pool riigikogu koosseisust .
			
189109	1085	O	Sinisalu lisas , et rohkem kui aasta kestnud ebamäärasus ruineerib nii kliinikumi patsiente kui personali ning mõjub halvasti ka ülikooli mainele .
189109	1085	S	Sinisalu lisas , et kestnud ebamäärasus ruineerib nii kliinikumi patsiente kui personali ning mõjub ülikooli mainele .
			
344119	102	O	Välisminister Kristiina Ojulandil on kadunud riigisaladusega dokumentide leidmiseks veidi rohkem kui kuu aega , muidu alustab kaitsepolitsei väärteomenetlust või kriminaaluurimist .
344119	102	S	Välisminister Kristiina Ojulandil on kadunud riigisaladusega dokumentide leidmiseks rohkem kui kuu aega , alustab kaitsepolitsei väärteomenetlust või kriminaaluurimist .
			
2446	20088	O	Mõne aastaga on amfetamiin ( uimasti ametlik nimetus ) muutunud narkomaanide seas nii populaarseks , et selle tarvitajaid on Tais juba rohkem kui heroiini või oopiumi pruukijaid .
2446	20088	S	Mõne aastaga on amfetamiin ( uimasti ametlik nimetus ) muutunud narkomaanide seas populaarseks , et selle tarvitajaid on Tais rohkem kui heroiini või oopiumi pruukijaid .
			
388046	105897	O	Ja televaatajat ehk ka mitte , sest inimesed jagavad elektrist veel vähem kui abieludest , ” ütles Tehvan otsmikku hõõrudes .
388046	105897	S	Ja televaatajat ehk mitte , sest inimesed jagavad elektrist , ” ütles Tehvan otsmikku hõõrudes .
			
410009	2273	O	Peale Britney Spearsi olid Boyzone'i poisid ainsad , kes võitsid rohkem kui ühe auhinna : parima Ühendatud Kuningriigi ja Iirimaa esineja auhinna ning parima albumi auhinna .
410009	2273	S	Peale Britney Spearsi olid Boyzone'i poisid ainsad , kes võitsid ühe auhinna : parima Ühendatud Kuningriigi ja Iirimaa esineja auhinna ning parima albumi auhinna .
			
85361	1220	O	Kagu-Aasia kriis ajas ka Vene valitsuse võlakirjade intressimäärad üles , mistõttu selle aasta esimeses kvartalis läks eelarvetuludest rohkem kui kolmandik laenude teenindamiseks .
85361	1220	S	Kagu-Aasia kriis ajas Vene valitsuse võlakirjade intressimäärad üles , selle aasta esimeses kvartalis läks eelarvetuludest kolmandik laenude teenindamiseks .
			
183977	198	O	Nimelt müüsid panga Londonis paiknevad riigivõlakirjamaaklerid sel päeval vähem kui kahe minuti jooksul 172 miljardi krooni ( 11 miljardi euro ) väärtuses eri riikide võlakirju .
183977	198	S	Müüsid panga Londonis paiknevad riigivõlakirjamaaklerid sel päeval 172 miljardi krooni ( 11 miljardi euro ) väärtuses eri riikide võlakirju .
			
396759	4155	O	Natuke rohkem kui kuuga peavad ühele poole saama ettevalmistused linna kõige suuremas saalis – Tõrva gümnaasiumi endises aulas .
396759	4155	S	Peavad ühele poole saama ettevalmistused linna suuremas saalis – Tõrva gümnaasiumi endises aulas .
			
450697	1130	O	Sügavalt kristlikke väärtusi hindavates maades on aborte ja enesetappe tunduvalt vähem kui meie “ valgustatud ” Eestimaal .
450697	1130	S	Kristlikke väärtusi hindavates maades on aborte ja enesetappe vähem kui meie “ valgustatud ” Eestimaal .
			
382869	468	O	Kumbki saar mahutab kuni 40 hotelli , rohkem kui 1000 villat - paljud neist lähevad müüki välismaalastele - , veeparke , jahisadamaid ja ostukeskusi .
382869	468	S	Kumbki saar mahutab kuni 40 hotelli - paljud neist lähevad müüki välismaalastele - , veeparke , jahisadamaid ja ostukeskusi .
			
321634	826	O	Iga päev abiellub maailmas rohkem kui 70 000 teismelist tütarlast , paljud neist vastu oma tahtmist , ja ligi 40 000 tütarlast sünnitavad .
321634	826	S	Iga päev abiellub maailmas 70 000 teismelist tütarlast , paljud neist vastu oma tahtmist , ja ligi 40 000 tütarlast sünnitavad .
			
462154	888	O	Orgaanilise kütuse nappus on sundinud halastamatult ekspluateerima Dnepri hüdroressurssi - vee alanemine toimub kiirusega 8 kuni 10 cm päevas , mis tähendab , et hüdroelektrijaamade töövõime piiriks on vähem kui kuu .
462154	888	S	Orgaanilise kütuse nappus on sundinud ekspluateerima Dnepri hüdroressurssi - vee alanemine toimub kiirusega 8 kuni 10 cm päevas , mis tähendab , et hüdroelektrijaamade töövõime piiriks on vähem kui kuu .
			
647745	19289	O	Intressi tuleb siiski maksta üksnes siis , kui rahaline toetus makstakse rohkem kui 30 päeva pärast punktides 2.1 ja 2.2 osutatud ajakavakohaseid maksekuupäevi .
647745	19289	S	Intressi tuleb maksta , kui rahaline toetus makstakse pärast punktides 2.1 ja 2.2 osutatud ajakavakohaseid maksekuupäevi .
			
426084	1715	O	Näiteks ei tohi tarbida nitritit rohkem kui 0,06 mg inimese kehakaalu kilogrammi kohta , bensoehapet 5mg/kg , sordiinhapet 25 mg/kg , sahhariini 5 mg/kg , aspartaami 40 mg/kg ööpäevas .
426084	1715	S	Näiteks ei tohi tarbida nitritit 0,06 mg inimese kehakaalu kilogrammi kohta , bensoehapet 5mg / kg , sordiinhapet 25 mg/kg , sahhariini 5 mg/kg , aspartaami 40 mg/kg ööpäevas .
			
529328	0	O	Turvafirma Falck Eesti töötajad said Tallinnas , Harju- ja Raplamaal 2002. aastal tabatud kauplusevarastelt kätte rohkem kui 1,3 miljoni krooni eest kaupa oktoobris näiteks 159 000 krooni eest .
529328	0	S	Turvafirma Falck Eesti töötajad said Tallinnas , Harju- ja Raplamaal 2002. aastal tabatud kauplusevarastelt kätte kaupa oktoobris näiteks 159 000 krooni eest .
			
437337	13	O	Esimest korda rohkem kui kolme aasta jooksul kõlasid neljapäeval Rootsi riigiraadios Rootsi-poolsed Estonia hukkumise eest vastutuse endale võtmise sõnad .
437337	13	S	Esimest korda kolme aasta jooksul kõlasid neljapäeval Rootsi riigiraadios Rootsi-poolsed Estonia hukkumise eest vastutuse endale võtmise sõnad .
			
346016	1689	O	Seda arvutatakse töötaja keskmisest kalendripäeva töötasust viimasel 12 töötatud kuul , kuid mitte rohkem kui kolmekordsest Eesti keskmisest ühe kalendripäeva töötasust eelmisel kalendriaastal .
346016	1689	S	Seda arvutatakse töötaja keskmisest kalendripäeva töötasust viimasel 12 töötatud kuul , kuid rohkem kui kolmekordsest Eesti keskmisest ühe kalendripäeva töötasust eelmisel kalendriaastal .
			
246620	3587	O	Võitjaid on kaks : esiteks , tankistikarjääriga kindralstaabi ülem Anatoli Kvašnin kui tuntud tavarelvastuse pooldaja ning teiseks eriteenistused , mille isikkoosseise kärbitakse tunduvalt vähem kui armee oma .
246620	3587	S	Võitjaid on kaks : , tankistikarjääriga kindralstaabi ülem Anatoli Kvašnin kui tuntud tavarelvastuse pooldaja ning eriteenistused , mille isikkoosseise kärbitakse .
			
1130	3814	O	Haridusministeerium on välja arvutanud , et tasemel haridust saab tudengile pakkuda mitte vähem kui 25 000 krooni eest , arstiteaduste puhul aga mitte vähem kui 100 000 eest .
1130	3814	S	Haridusministeerium on välja arvutanud , et tasemel haridust saab tudengile pakkuda , arstiteaduste puhul aga vähem kui 100 000 eest .
			
192234	1796	O	Paremparteide hulka kuuluv Populaar-UDEUR tõi Uniooni selja taha vähem kui protsendi häältest , nagu ka Pensionäride Partei , Lõuna-Tirooli Rahvapartei , Vittorio Craxi sotsialistid , Tarbijakaitsenimekiri , Lombardia Autonoomialiiga , Veneetsia Rindeliiga ja ühendus Autonoomia , Vabadus , Demokraatia .
192234	1796	S	Paremparteide hulka kuuluv Populaar-UDEUR tõi Uniooni selja taha .
			
356330	166	O	Tasu võetakse iga haiglapäeva eest , kuid mitte rohkem kui 10 kalendripäeva eest ühe haigusjuhtumi kohta .
356330	166	S	Tasu võetakse iga haiglapäeva eest , kuid rohkem kui 10 kalendripäeva eest ühe haigusjuhtumi kohta .
			
520310	1863	O	Kergelt see võit aga ei tulnud - võidumees hingeldas märgatavalt rohkem kui partner .
520310	1863	S	See võit aga ei tulnud - võidumees hingeldas .
			
68910	2187	O	Peavalu valmistab ka asja-olu , et Poola piir on vähem kui saja kilomeetri kaugusel .
68910	2187	S	Peavalu valmistab asja-olu , et Poola piir on vähem kui saja kilomeetri kaugusel .
			
7356	2593	O	Duuma oli vahepeal ilmselt liiga enesekindlaks läinud , sest presidendil puudub põhiseaduslik õigus parlamendi laialisaatmiseks vähem kui aasta enne korralisi valimisi .
7356	2593	S	Duuma oli enesekindlaks läinud , sest presidendil puudub põhiseaduslik õigus parlamendi laialisaatmiseks .
			
293631	2036	O	Kui 1927. aastal oli ruutkilomeetrisel alal 0,49 kilomeetrit maanteid , siis praegu on teedevõrk palju tihedam , küündides rohkem kui 1,05 kilomeetrini ruutkilomeetri kohta .
293631	2036	S	Kui 1927. aastal oli ruutkilomeetrisel alal 0,49 kilomeetrit maanteid , on teedevõrk tihedam , küündides ruutkilomeetri kohta .
			
41512	4724	O	Narkokuritegevus suurenes Tallinnas tänavu 11 kuuga rohkem kui viis korda möödunud aasta sama ajavahemikuga võrreldes .
41512	4724	S	Narkokuritegevus suurenes Tallinnas 11 kuuga möödunud aasta sama ajavahemikuga võrreldes .
			
152118	194	O	Möödunud nädalal rabas avalikkust teave , et Eesti kulutab tervishoiule vähem kui ükski teine Euroopa riik .
152118	194	S	Möödunud nädalal rabas avalikkust teave , et Eesti kulutab tervishoiule kui ükski teine Euroopa riik .
			
696026	18022	O	d ) arvestite puhul , mille töörõhk on suurem kui 0,1 MN/m  2  ( 1 bar ) , ei tohi erinevus voolukulu 0,5 Q  max  ja voolukulu Q  max  korral mõõdetud vigade vahel olla suurenenud rohkem kui 1% .
696026	18022	S	D ) arvestite puhul , mille töörõhk on suurem kui 0,1 MN/m 2 ( 1 bar ) , ei tohi erinevus voolukulu 0,5 Q max ja voolukulu Q max korral mõõdetud vigade vahel olla suurenenud .
			
220855	548	O	Käesoleval aasta alguse kahe kuuga on Seesam hüvitanud kahjusid 36,8 miljoni krooni ulatuses ehk ligi 5% vähem kui möödunud aastal sama aja jooksul .
220855	548	S	Käesoleval aasta alguse kahe kuuga on Seesam hüvitanud kahjusid 36,8 miljoni krooni ulatuses ehk möödunud aastal sama aja jooksul .
			
236657	45	O	Vene tänaval kaubatelkides müüvad tänasest 24. detsembrini jõuluteemalist kaupa rohkem kui 20 firmat .
236657	45	S	Vene tänaval kaubatelkides müüvad tänasest 24. detsembrini jõuluteemalist kaupa .
			
165583	119	O	Eesti meedias kuulsaks saanud vennakeste tegemisi mitu aastat jälginud Lehto veidi vähem kui pooleteisttunnist teost on näidatud tänavusel Tampere lühifilmide festivalil ja ka Sodankylä filmifestivalil .
165583	119	S	Eesti meedias kuulsaks saanud vennakeste tegemisi mitu aastat jälginud Lehto kui pooleteisttunnist teost on näidatud tänavusel Tampere lühifilmide festivalil ja Sodankylä filmifestivalil .
			
595851	739	O	Paraku peab Otepää leppima veidi rohkem kui saja sportlasega .
595851	739	S	Peab Otepää leppima .
			
71426	1478	O	Abituriendid arvasid , et mahakirjutajaid on palju rohkem kui sada .
71426	1478	S	Abituriendid arvasid , et mahakirjutajaid on rohkem kui sada .
			
704489	418923	O	Minu andmetel on neid , kes ei ole end töötuna registreerinud , siiski tunduvalt rohkem kui neid , kes ei ole võimelised tööd leidma ja ei ole avaldanud ka soovi tööd leida .
704489	418923	S	Minu andmetel on neid , kes ei ole end töötuna registreerinud , rohkem kui neid , kes ei ole võimelised tööd leidma ja ei ole avaldanud soovi tööd leida .
			
107699	335	O	Kui asutatud korteriühistu hõlmab rohkem kui üht maja , võib sellest tulevikus eralduda üksnes majade kaupa .
107699	335	S	Kui asutatud korteriühistu hõlmab , võib sellest tulevikus eralduda majade kaupa .
			
694527	1520	O	Ühistu müügijuht Karry Kukk ütles , et vett on tänavu müüdud 30 % rohkem kui mullu samal ajal , kuid endiselt on populaarsed ka kõikvõimalikud karastusjoogid ja kali .
694527	1520	S	Ühistu müügijuht Karry Kukk ütles , et vett on müüdud 30 % rohkem kui samal ajal , kuid on populaarsed kõikvõimalikud karastusjoogid ja kali .
			
94488	1603	O	""" Rohkem kui kunagi varem on seadusandja tubli tööga ja valitsuse kaasabiga jagatud juba raha ette ära , "" tõdes Opmann ."
94488	1603	S	""" kui varem on seadusandja tubli tööga ja valitsuse kaasabiga jagatud raha ette ära , "" tõdes Opmann ."
			
325540	296	O	Võrreldes 1991. aastaga on töötavate inimeste arv Eestis vähenenud veerandi ehk rohkem kui 200 000 inimese võrra , tööhõive määr on langenud 60 protsendi lähedale , töötuse määr aga kasvanud 14 protsendini .
325540	296	S	Võrreldes 1991. aastaga on töötavate inimeste arv Eestis vähenenud veerandi , tööhõive määr on langenud 60 protsendi lähedale , töötuse määr aga kasvanud 14 protsendini .
			
485610	1493	O	Mõtlesin seda rohkem kui muusikalist maastikku , mida vaatame läbi akna , kõike ju ei näe , vahel on kardingi ees , vahel koguni luugid , ja seda , mis nurga taga , tuleb vaadata hoopis teisest aknast .
485610	1493	S	Mõtlesin seda kui muusikalist maastikku , mida vaatame läbi akna , kõike ei näe , on kardingi ees , luugid , ja seda , mis nurga taga , tuleb vaadata teisest aknast .
			
308487	1885	O	Ma ei usu , et prügi väljaviimiseks kuluks rohkem kui paar minutit , kuid tundub , et sellest on saanud mingi arusaamatu peretülivormel , mis esimesena pähe tuleb .
308487	1885	S	Ma ei usu , et prügi väljaviimiseks kuluks , kuid tundub , et sellest on saanud mingi arusaamatu peretülivormel , mis esimesena pähe tuleb .
			
360743	477	O	Moskva sanitaar-epidemioloogilise seire keskuse andmetel on seal tänavu kümne kuuga esinenud juba 273 meningiidijuhtu , mis 44 protsendi võrra rohkem kui mullu .
360743	477	S	Moskva sanitaar-epidemioloogilise seire keskuse andmetel on kümne kuuga esinenud 273 meningiidijuhtu , mis 44 protsendi võrra rohkem kui mullu .
			
250885	11	O	Apple langetas oma arvutite hindu rohkem kui 1000 dollari võrra , et eelmise aasta jooksul täis toodetud laod kohe selle aasta alguses arvutitest tühjaks õnnestuks müüa .
250885	11	S	Apple langetas oma arvutite hindu , et eelmise aasta jooksul täis toodetud laod selle aasta alguses arvutitest tühjaks õnnestuks müüa .
			
412456	795	O	See summa moodustab rohkem kui kolmandiku panga prognoositud aastakasumist .
412456	795	S	See summa moodustab kolmandiku panga prognoositud aastakasumist .
			
188524	5940	O	Ka meie parlament , Saksa Liidu-päev , pidi selle poliitika toetuseks rohkem kui kord üle oma varju hüppama .
188524	5940	S	Meie parlament , Saksa Liidu-päev , pidi selle poliitika toetuseks kord üle oma varju hüppama .
			
44851	3072	O	Telefoni väga hästi valgustatud displeile mahub kolm rida teksti ehk rida-kaks vähem kui sama hinnaklassi tavatelefonidel .
44851	3072	S	Telefoni valgustatud displeile mahub kolm rida teksti ehk rida-kaks vähem kui sama hinnaklassi tavatelefonidel .
			
298461	93	O	Vähem kui poolel protsendil tänavuste riigieksamite tegijatest tõsteti eksamihinnet apelleerimise tulemusena , teatas haridusministeerium .
298461	93	S	Poolel protsendil tänavuste riigieksamite tegijatest tõsteti eksamihinnet apelleerimise tulemusena , teatas haridusministeerium .
			
275642	510	O	Rohkem kui 200 äriühingut on registreeritud Saku , Rae , Saue ja Harku vallas ning Keila ja Saue linnas .
275642	510	S	Kui 200 äriühingut on registreeritud Saku , Rae , Saue ja Harku vallas ning Keila ja Saue linnas .
			
500337	188	O	Bostoni lähedal Brandeisi Ülikoolis rohkem kui 8000 inimese ees kõne pidanud Tiibeti usujuht tänas kohalolijaid nende sümpaatiaavalduste ja tiibetlastega solidaarsuse eest .
500337	188	S	Bostoni lähedal Brandeisi Ülikoolis 8000 inimese ees kõne pidanud Tiibeti usujuht tänas kohalolijaid nende sümpaatiaavalduste ja tiibetlastega solidaarsuse eest .
			
287851	412	O	Eesti Telefon on varem ennustanud , et 2001. aasta lõpuks ei kaota nad rohkem kui 15 protsendist kõneturul .
287851	412	S	Eesti Telefon on ennustanud , et 2001. aasta lõpuks ei kaota nad 15 protsendist kõneturul .
			
616653	2041	O	250 miljonit naela ehk peaaegu samapalju kui kõik ülejäänud Inglise kõrgliigaklubid kokku on Chelsea kahe aasta jooksul kulutatud uute mängijate ostmiseks .
616653	2041	S	250 miljonit naela kui kõik ülejäänud Inglise kõrgliigaklubid kokku on Chelsea kahe aasta jooksul kulutatud uute mängijate ostmiseks .
			
536704	868	O	Praeguseks on haruldaste loomade häältega helinaid keskuse veebilehelt oma telefoni laadinud rohkem kui 24 000 inimest .
536704	868	S	Praeguseks on haruldaste loomade häältega helinaid keskuse veebilehelt oma telefoni laadinud .
			
397900	9935	O	Rohkem kui pool omastatud toitainetest oli tallatud alal umbrohtudes ( joonis 3 ) .
397900	9935	S	Pool omastatud toitainetest oli tallatud alal umbrohtudes ( joonis 3 ) .
			
291482	1278	O	"Arhitekt Aldo Oravase sõnul on täna Lilleküla staadionist valmis pisut rohkem kui pool - "" ainult nn. härjavõitluse areeniosa "" ."
291482	1278	S	Arhitekt Aldo Oravase sõnul on Lilleküla staadionist valmis .
			
575636	643	O	Põnevaid medalimänge on korvpalliliiga varemgi pakkunud rohkem kui ükski teine kodune spordisündmus , kuid äsja lõppenud kullaseeria oli mõneti ajalooline .
575636	643	S	Põnevaid medalimänge on korvpalliliiga pakkunud , kuid lõppenud kullaseeria oli ajalooline .
			
420079	9826	O	Maakeeli öeldes : mõne aasta taguste britpopi lipulaevukeste ( nagu Suede ) usin järeleaimamine , milles ennastunustavat imetlust kuulukse kõvasti rohkem kui isikupära või oskusi , ep ole tõesti kuigi “ muljetavaldav ” .
420079	9826	S	Maakeeli öeldes : mõne aasta taguste britpopi lipulaevukeste ( Suede ) usin järeleaimamine , milles ennastunustavat imetlust kuulukse , ole “ muljetavaldav ” .
			
550314	889	O	Rohkem kui kümme protsenti Tarmeko aktsiatest annaks suuremad õigused kui väikeaktsionäridel . ”
550314	889	S	Kümme protsenti Tarmeko aktsiatest annaks suuremad õigused kui väikeaktsionäridel . ”
			
570079	2582	O	Et Kadi peab ennast jõeinimeseks , siis pole ta tänavu mereranda jõudnud rohkem kui korra .
570079	2582	S	Et Kadi peab ennast jõeinimeseks , pole ta mereranda jõudnud .
			
63620	3753	O	Kulutab ju üks pakasega käivitus mootorit rohkem kui 500 km läbimine töösooja mootoriga !
63620	3753	S	Kulutab üks pakasega käivitus mootorit 500 km läbimine töösooja mootoriga !
			
616048	1123	O	Tulemus - teksaseid , dresse ja tossusid oli Palamusele kokku veetud oluliselt vähem kui Eesti suurimale Hauka laadale või Peipsiääre sibulalaadale .
616048	1123	S	Tulemus - teksaseid , dresse ja tossusid oli Palamusele kokku veetud vähem kui Eesti suurimale Hauka laadale või Peipsiääre sibulalaadale .
			
369107	176	O	Turaidas kulmineerunud üritust külastas ligi 24 000 inimest , samas moodustati sümboolne päikeseornament rohkem kui 160 000 lilleõiest .
369107	176	S	Turaidas kulmineerunud üritust külastas ligi 24 000 inimest , samas moodustati sümboolne päikeseornament .
			
166714	3901	O	See millegipärast luges rohkem kui rahvusvaheline edu .
166714	3901	S	See luges rahvusvaheline edu .
			
700929	1517446	O	Nii on näiteks kangetele napsudele kõrgemad määrad , veinile ja õllele madalamad määrad , mis soodustab seda , et tarbimisstruktuuri järgi tarbitakse üht sorti alkoholi rohkem kui teist või siis tulevikus hakatakse rohkem tarbima .
700929	1517446	S	On näiteks kangetele napsudele kõrgemad määrad , veinile ja õllele madalamad määrad , mis soodustab seda , et tarbimisstruktuuri järgi tarbitakse üht sorti alkoholi või tulevikus hakatakse tarbima .
			
